N,P,K,temperature,humidity,pH,rainfall,crop,variety
75.28,28.51,98.07,32.26,77.25,7.86,201.85,Coconut,Coconut
97.67,53.12,44.22,20.39,66.36,7.37,61.21,Pumpkin,Pumpkin
39.02,47.67,24.48,23.19,58.53,7.04,41.87,Bengal Gram(Gram)(Whole),Desi (Whole)
143.87,51.1,59.28,20.86,69.06,6.63,51.5,Cabbage,Cabbage
83.94,48.74,62.41,19.08,66.44,7.25,97.9,Grapes,Other
87.16,40.47,50.75,24.3,54.78,6.43,89.44,Wheat,Local
111.09,47.04,42.68,34.17,71.0,7.34,100.56,Cotton,Other
60.28,31.61,33.6,19.76,69.6,7.16,78.23,Mustard,Mustard
105.36,54.94,43.24,23.99,65.98,6.69,87.78,Green Chilli,Green Chilly
212.9,110.79,219.45,26.33,77.15,6.44,113.95,Papaya,Papaya
212.82,112.37,151.14,30.55,62.07,6.53,154.59,Papaya,Papaya
86.73,33.98,31.61,22.82,69.22,6.35,67.87,Mustard,Mustard
65.49,45.76,91.48,23.04,68.17,6.35,76.88,Grapes,Other
84.06,41.14,49.24,29.36,57.4,7.37,59.62,Pumpkin,Pumpkin
55.96,25.09,29.96,15.79,52.54,6.43,49.32,Coriander(Leaves),Coriander
106.62,47.57,110.86,27.03,79.34,6.35,186.42,Turmeric(raw),Other
111.06,53.98,54.93,18.82,79.04,7.37,58.9,Cabbage,Cabbage
29.71,63.99,39.72,27.95,73.48,7.1,86.4,Soyabean,Local
113.44,59.03,56.35,18.07,59.68,7.38,106.17,Maize,Hybrid/Local
42.08,21.57,30.63,17.14,57.79,7.21,73.76,Coriander(Leaves),Coriander
82.98,31.34,39.67,22.86,80.92,6.92,187.75,Paddy(Basmati),Basmati
192.64,59.13,84.94,29.76,62.81,7.67,205.99,Sugarcane,Other
112.18,50.74,98.46,24.74,72.34,5.96,137.42,Mango(Raw-Ripe),Other
93.56,38.95,35.14,27.33,83.54,5.86,183.51,Paddy(Basmati),Basmati
46.34,29.61,34.52,15.02,61.15,7.39,67.72,Coriander(Leaves),Coriander
113.18,56.07,51.94,18.61,65.02,7.36,57.66,Wheat,Local
127.08,43.07,53.73,32.28,79.16,7.9,80.27,Cotton,Other
128.93,78.42,63.71,27.36,83.82,6.25,123.51,Tomato,Tomato
109.55,66.47,51.72,16.6,67.33,6.08,69.57,Cauliflower,Cauliflower
125.12,53.69,81.69,23.19,73.38,6.0,197.77,Turmeric(raw),Other
99.35,53.61,41.34,15.34,60.9,7.74,70.86,Wheat,Local
113.26,66.28,62.99,27.97,70.52,6.58,114.8,Maize,Hybrid/Local
27.97,44.16,37.24,21.2,43.63,6.29,41.69,Bengal Gram(Gram)(Whole),Desi (Whole)
96.11,43.72,40.02,22.6,61.33,6.09,97.28,Onion,Local
95.23,33.47,42.11,27.23,64.79,6.76,85.74,Bhindi(Ladies Finger),Bhindi
17.81,41.96,22.01,25.08,50.38,7.3,66.98,Green Gram Dal(Moong Dal),Green Gram Dal
86.8,45.84,46.6,29.68,59.19,6.86,59.61,Pumpkin,Pumpkin
92.54,46.54,59.46,21.44,53.82,6.4,50.19,Onion,Local
133.23,82.41,103.83,15.86,63.21,5.46,82.46,Potato,Potato
119.64,51.99,50.91,23.02,82.88,5.88,203.2,Rice,Common
66.64,36.33,85.88,26.76,80.99,6.3,235.38,Coconut,Coconut
37.97,66.85,41.87,24.89,56.76,6.72,68.29,Soyabean,Local
141.41,62.56,61.31,24.42,68.69,7.16,91.64,Tomato,Tomato
44.42,39.6,95.02,31.35,78.53,5.91,204.95,Coconut,Coconut
99.84,46.71,45.95,26.31,82.94,6.16,219.59,Rice,Common
36.95,53.38,33.6,22.88,73.82,6.66,77.16,Soyabean,Local
148.38,116.92,109.12,21.2,75.13,6.15,95.36,Potato,Potato
120.42,51.98,69.98,24.15,65.83,6.37,83.84,Maize,Hybrid/Local
100.63,50.9,68.53,16.21,75.96,6.95,79.64,Cauliflower,Cauliflower
31.1,54.19,47.25,21.95,53.94,7.09,97.32,Groundnut,Local
108.86,49.13,88.93,20.74,61.04,6.11,186.91,Ginger(Green),Green Ginger
107.75,55.42,46.12,29.08,75.09,6.97,197.23,Rice,Common
87.08,43.46,49.72,19.4,57.89,6.92,67.95,Wheat,Local
20.71,58.57,33.89,22.04,56.76,7.06,63.79,Soyabean,Local
69.11,46.27,90.33,20.12,67.23,7.1,59.8,Grapes,Other
71.44,27.22,32.04,25.76,59.26,6.18,53.29,Bajra(Pearl Millet/Cumbu),Hybrid
160.5,110.18,85.13,20.1,66.62,5.48,91.96,Potato,Potato
97.24,47.72,53.47,26.54,63.58,6.93,60.75,Green Chilli,Green Chilly
99.12,47.94,69.48,25.57,52.71,7.42,80.84,Grapes,Other
45.17,24.1,22.47,29.46,54.11,6.26,59.4,Bajra(Pearl Millet/Cumbu),Hybrid
83.64,53.45,57.36,17.2,62.53,7.13,77.65,Garlic,Garlic
156.56,67.17,277.25,32.48,88.7,6.38,193.55,Banana,Other
64.26,33.57,82.82,21.18,78.51,5.94,105.91,Apple,Apple
36.71,50.82,35.98,18.92,46.67,6.8,42.69,Bengal Gram(Gram)(Whole),Desi (Whole)
39.49,52.76,48.72,20.13,61.06,7.03,80.66,Groundnut,Local
110.41,53.67,58.71,24.45,72.5,6.93,66.83,Maize,Hybrid/Local
159.63,60.72,202.14,27.8,77.4,7.49,238.15,Banana,Other
29.63,57.58,26.78,16.29,50.96,6.77,56.12,Bengal Gram(Gram)(Whole),Desi (Whole)
23.09,30.35,20.3,30.62,68.59,7.13,67.27,Green Gram Dal(Moong Dal),Green Gram Dal
87.92,43.82,91.04,34.92,51.61,6.05,87.77,Mango(Raw-Ripe),Other
124.62,60.04,64.66,19.21,62.01,6.56,83.15,Tomato,Tomato
122.32,68.37,54.43,19.89,63.43,6.28,98.4,Cauliflower,Cauliflower
97.91,56.86,41.83,23.53,64.11,7.48,54.58,Pumpkin,Pumpkin
72.07,39.97,67.1,19.28,66.66,6.64,99.15,Grapes,Other
36.94,46.09,21.13,16.82,44.98,7.89,59.36,Bengal Gram(Gram)(Whole),Desi (Whole)
143.63,58.12,51.42,28.35,73.43,7.99,68.18,Cotton,Other
44.91,31.07,90.26,16.72,70.7,6.36,105.58,Apple,Apple
99.82,51.29,59.99,27.06,70.02,6.71,92.34,Brinjal,Brinjal
70.81,37.33,109.19,25.55,75.89,5.82,220.38,Coconut,Coconut
39.85,43.81,47.91,25.25,55.8,6.42,65.4,Groundnut,Local
104.19,57.98,61.93,15.33,76.2,6.56,94.4,Cauliflower,Cauliflower
91.12,49.31,58.74,26.07,56.16,7.11,71.33,Pumpkin,Pumpkin
81.23,57.71,55.13,22.79,55.6,6.59,60.27,Garlic,Garlic
18.75,41.82,24.34,30.03,53.24,6.52,71.16,Green Gram Dal(Moong Dal),Green Gram Dal
123.76,51.79,111.75,19.7,70.12,7.15,119.91,Orange,Orange
94.85,41.33,43.05,26.0,52.07,6.59,90.35,Pumpkin,Pumpkin
116.11,42.65,118.28,32.39,62.59,6.48,139.58,Mango(Raw-Ripe),Other
91.87,44.45,55.02,22.49,52.8,7.1,69.72,Pumpkin,Pumpkin
106.95,66.75,60.81,20.52,78.4,6.98,82.65,Cauliflower,Cauliflower
114.11,48.25,90.46,26.99,63.27,6.8,147.59,Orange,Orange
90.53,43.58,54.78,21.14,64.59,6.41,54.19,Pumpkin,Pumpkin
69.25,32.27,36.8,25.3,76.67,6.45,157.86,Paddy(Basmati),Basmati
141.04,85.31,87.54,17.01,65.23,5.96,89.37,Potato,Potato
138.19,45.88,118.51,17.49,77.82,6.06,106.91,Orange,Orange
27.55,35.25,24.2,25.06,58.27,6.46,53.63,Green Gram Dal(Moong Dal),Green Gram Dal
108.94,51.61,41.6,21.97,57.47,7.27,96.28,Onion,Local
105.02,40.63,47.22,27.73,77.8,6.2,66.26,Brinjal,Brinjal
61.26,23.46,34.27,25.36,55.09,7.6,67.4,Bajra(Pearl Millet/Cumbu),Hybrid
157.56,138.66,207.95,28.66,65.73,6.62,124.05,Papaya,Papaya
229.75,115.27,211.04,25.12,74.84,6.4,105.78,Papaya,Papaya
36.41,53.75,39.34,25.06,65.91,6.47,84.05,Soyabean,Local
82.51,40.38,42.19,27.31,64.72,6.52,113.44,Brinjal,Brinjal
108.1,40.92,42.12,23.48,70.95,6.69,114.46,Brinjal,Brinjal
130.45,42.81,95.28,29.35,61.96,6.38,172.94,Turmeric(raw),Other
224.15,53.26,80.29,32.72,66.97,7.91,155.54,Sugarcane,Other
92.48,49.32,41.27,15.05,52.44,6.73,86.13,Onion,Local
115.91,62.53,67.41,17.88,60.76,7.44,95.48,Cauliflower,Cauliflower
48.65,34.56,83.26,29.63,76.68,6.86,198.57,Coconut,Coconut
47.17,33.8,83.62,27.65,71.82,5.85,171.57,Coconut,Coconut
101.78,56.58,40.68,24.43,66.1,6.0,88.59,Brinjal,Brinjal
111.71,41.29,55.44,29.94,56.77,6.42,52.58,Green Chilli,Green Chilly
145.3,59.42,56.39,20.91,62.99,6.39,71.31,Cabbage,Cabbage
113.71,47.29,49.02,29.19,65.91,6.77,84.31,Cotton,Other
187.91,102.25,235.08,26.21,70.72,6.32,158.66,Papaya,Papaya
115.13,46.05,45.99,19.12,57.09,6.37,79.82,Wheat,Local
69.43,49.28,38.36,23.27,84.76,6.37,184.76,Paddy(Basmati),Basmati
38.99,52.45,26.56,16.48,53.83,7.14,75.93,Bengal Gram(Gram)(Whole),Desi (Whole)
242.5,56.21,271.54,34.74,94.5,6.42,182.9,Banana,Other
91.97,43.29,80.3,34.64,57.09,6.52,89.45,Mango(Raw-Ripe),Other
103.17,65.51,61.64,15.97,74.58,7.09,52.08,Cauliflower,Cauliflower
114.42,57.33,41.23,27.98,81.05,6.71,263.65,Rice,Common
25.09,40.25,38.42,19.5,48.76,6.5,56.89,Bengal Gram(Gram)(Whole),Desi (Whole)
72.71,43.52,38.02,32.33,69.69,6.43,83.51,Bhindi(Ladies Finger),Bhindi
113.43,41.43,119.48,29.2,76.21,6.99,142.26,Turmeric(raw),Other
49.19,21.28,28.21,27.81,46.66,6.09,62.29,Bajra(Pearl Millet/Cumbu),Hybrid
213.79,50.87,95.82,20.66,73.73,6.53,168.67,Sugarcane,Other
97.16,59.64,100.32,22.7,66.61,6.09,189.15,Ginger(Green),Green Ginger
174.49,119.74,112.74,17.0,63.46,5.39,60.01,Potato,Potato
168.13,111.86,109.85,16.41,71.56,5.65,69.98,Potato,Potato
46.18,38.05,24.35,23.91,67.55,6.39,47.23,Coriander(Leaves),Coriander
27.01,54.39,21.92,27.04,67.67,6.85,93.87,Arhar Dal(Tur Dal),Arhar Dal(Tur)
117.15,41.91,115.71,22.11,69.85,6.48,87.06,Orange,Orange
28.88,56.32,35.24,24.37,45.28,7.33,64.72,Bengal Gram(Gram)(Whole),Desi (Whole)
81.08,42.46,51.66,15.02,58.15,6.17,67.79,Wheat,Local
226.62,73.93,94.3,23.49,75.83,7.69,186.36,Sugarcane,Other
122.67,60.42,57.0,17.41,79.57,6.05,91.11,Cauliflower,Cauliflower
21.96,43.82,28.59,25.09,79.51,6.51,68.34,Green Gram Dal(Moong Dal),Green Gram Dal
20.61,53.74,32.06,22.24,53.97,6.87,35.07,Bengal Gram(Gram)(Whole),Desi (Whole)
183.88,109.15,215.62,28.59,76.34,6.55,110.02,Papaya,Papaya
105.56,63.66,64.93,27.03,71.63,7.31,105.59,Tomato,Tomato
104.87,58.88,46.16,25.74,69.63,6.07,87.09,Brinjal,Brinjal
96.99,40.81,117.23,33.68,48.73,6.69,95.18,Mango(Raw-Ripe),Other
75.04,32.98,35.48,26.17,70.83,6.81,187.19,Paddy(Basmati),Basmati
24.47,51.06,49.32,24.82,58.14,7.36,75.39,Soyabean,Local
75.27,31.75,29.42,33.47,51.06,7.31,75.47,Bajra(Pearl Millet/Cumbu),Hybrid
130.39,69.46,68.73,17.0,60.03,6.5,77.04,Cabbage,Cabbage
99.43,30.23,99.32,18.24,69.52,6.49,51.22,Grapes,Other
133.82,73.0,74.35,21.94,75.91,7.46,98.61,Tomato,Tomato
107.97,79.52,70.04,19.19,62.89,7.05,56.58,Tomato,Tomato
141.42,52.13,113.04,27.94,77.83,5.96,170.63,Turmeric(raw),Other
93.89,50.51,52.07,24.55,64.58,6.01,50.15,Green Chilli,Green Chilly
83.56,40.3,59.28,22.18,70.32,5.64,255.48,Rice,Common
79.41,41.86,41.98,24.4,51.33,6.76,47.3,Mustard,Mustard
110.61,48.37,83.23,26.94,79.81,5.79,128.09,Ginger(Green),Green Ginger
118.19,43.26,45.33,17.97,60.31,7.16,91.74,Wheat,Local
22.22,45.11,42.11,27.26,57.71,7.22,61.04,Groundnut,Local
103.75,53.34,50.43,18.55,59.81,6.13,75.21,Maize,Hybrid/Local
98.55,44.94,46.43,25.94,60.38,7.08,51.2,Pumpkin,Pumpkin
48.18,25.23,28.92,34.02,41.02,6.62,66.75,Bajra(Pearl Millet/Cumbu),Hybrid
83.83,32.5,38.15,24.24,67.42,7.49,59.27,Mustard,Mustard
96.49,51.42,49.37,25.54,86.98,6.65,201.65,Rice,Common
166.1,111.97,103.5,16.9,64.95,5.49,80.44,Potato,Potato
74.42,30.16,31.07,29.43,83.88,6.01,170.8,Paddy(Basmati),Basmati
103.86,55.76,46.14,23.29,53.75,7.83,62.68,Wheat,Local
96.34,44.0,58.12,26.61,67.97,6.43,62.52,Pumpkin,Pumpkin
144.31,42.36,118.47,25.99,79.69,7.11,121.49,Orange,Orange
85.7,42.63,55.86,12.03,50.14,6.77,94.14,Garlic,Garlic
95.22,38.98,48.92,28.45,68.94,6.36,103.83,Paddy(Basmati),Basmati
121.02,76.18,73.05,21.0,62.24,6.48,149.9,Tomato,Tomato
81.58,49.93,32.07,22.34,57.74,7.29,73.47,Mustard,Mustard
116.74,58.27,114.31,27.55,70.55,5.6,174.08,Ginger(Green),Green Ginger
86.14,50.24,57.88,20.59,69.03,7.51,50.38,Wheat,Local
54.21,20.58,33.54,15.39,64.22,7.08,66.02,Coriander(Leaves),Coriander
70.68,31.57,49.32,24.29,82.42,6.26,122.82,Paddy(Basmati),Basmati
89.09,33.47,74.45,16.32,55.44,6.79,81.23,Grapes,Other
223.98,102.85,244.76,25.01,71.82,6.15,179.99,Papaya,Papaya
111.58,52.52,65.5,21.03,73.4,7.33,92.68,Cauliflower,Cauliflower
71.53,22.25,35.65,32.32,49.28,6.17,68.52,Bajra(Pearl Millet/Cumbu),Hybrid
69.42,34.54,44.22,23.8,61.29,6.47,68.95,Mustard,Mustard
106.14,67.69,61.5,23.26,78.47,7.26,116.4,Tomato,Tomato
50.35,32.02,64.79,20.58,77.33,6.22,110.9,Apple,Apple
187.33,53.26,285.12,31.64,78.2,7.08,183.51,Banana,Other
44.76,20.1,81.46,31.05,77.83,7.19,191.46,Coconut,Coconut
51.13,22.14,21.94,30.74,59.33,7.74,75.12,Bajra(Pearl Millet/Cumbu),Hybrid
102.96,53.41,100.95,34.48,52.95,6.74,83.55,Mango(Raw-Ripe),Other
113.98,76.5,60.08,26.31,61.75,6.48,119.87,Tomato,Tomato
83.7,30.8,45.02,21.8,55.52,7.49,63.76,Mustard,Mustard
116.71,46.61,56.89,23.79,68.27,7.86,52.84,Wheat,Local
131.42,65.5,62.9,16.41,73.47,6.97,66.05,Cauliflower,Cauliflower
54.44,22.83,99.44,26.71,80.67,5.97,207.63,Coconut,Coconut
108.88,53.35,82.5,25.59,64.82,6.91,187.73,Turmeric(raw),Other
119.84,44.32,53.16,24.09,79.9,6.35,96.87,Brinjal,Brinjal
119.36,57.86,59.14,20.97,65.44,5.93,64.2,Maize,Hybrid/Local
72.92,32.8,99.43,18.65,60.13,6.26,102.28,Apple,Apple
72.99,59.75,52.74,24.95,56.19,6.89,96.96,Garlic,Garlic
49.33,22.38,25.15,23.42,63.06,7.01,57.15,Coriander(Leaves),Coriander
72.17,32.96,35.57,29.22,83.25,6.41,172.13,Paddy(Basmati),Basmati
92.02,38.4,30.09,20.15,68.1,6.84,110.16,Paddy(Basmati),Basmati
80.93,51.95,43.34,31.61,87.51,6.5,172.29,Rice,Common
97.66,58.06,55.94,25.58,75.63,6.3,215.24,Rice,Common
118.16,47.29,82.55,33.83,74.33,6.88,86.9,Mango(Raw-Ripe),Other
159.9,45.62,212.73,30.77,82.59,6.31,154.27,Banana,Other
230.99,45.19,274.49,28.0,93.04,7.35,224.5,Banana,Other
98.16,53.77,47.64,25.8,56.31,7.44,51.84,Green Chilli,Green Chilly
69.83,43.81,78.59,23.65,68.19,6.83,87.6,Grapes,Other
97.1,53.21,55.88,28.89,65.67,7.13,95.5,Green Chilli,Green Chilly
135.48,54.35,58.14,27.15,55.89,7.23,92.67,Maize,Hybrid/Local
145.25,51.89,51.73,28.25,57.31,6.49,119.05,Cotton,Other
117.94,49.59,94.6,16.66,64.63,6.2,126.94,Orange,Orange
41.92,36.66,21.03,34.15,55.72,7.01,72.53,Bajra(Pearl Millet/Cumbu),Hybrid
138.5,111.76,93.05,19.11,67.03,6.21,73.63,Potato,Potato
52.96,22.13,35.0,18.94,55.13,6.1,53.94,Coriander(Leaves),Coriander
15.86,48.19,24.19,31.15,69.51,6.03,60.14,Green Gram Dal(Moong Dal),Green Gram Dal
233.78,118.35,163.3,34.73,63.3,7.11,106.78,Papaya,Papaya
114.76,53.52,56.19,28.2,76.33,5.51,215.66,Rice,Common
30.26,55.98,29.18,23.71,40.87,6.43,35.75,Bengal Gram(Gram)(Whole),Desi (Whole)
79.08,28.48,119.66,30.26,77.56,5.88,205.07,Coconut,Coconut
23.91,51.08,35.66,23.86,53.83,7.96,61.72,Bengal Gram(Gram)(Whole),Desi (Whole)
121.59,56.25,59.87,32.0,77.08,7.63,105.96,Cotton,Other
88.06,47.3,44.88,26.03,81.89,6.12,239.04,Rice,Common
110.87,41.22,53.86,18.12,61.58,7.19,97.54,Onion,Local
115.92,49.97,98.09,15.64,61.68,6.98,121.22,Orange,Orange
79.3,45.61,44.76,26.48,65.73,6.6,65.85,Pumpkin,Pumpkin
108.54,54.15,50.0,23.27,87.73,5.81,214.59,Rice,Common
77.56,42.64,55.36,24.4,57.88,7.16,85.72,Pumpkin,Pumpkin
114.27,58.0,94.98,28.67,65.93,5.68,142.88,Ginger(Green),Green Ginger
103.65,53.35,62.3,18.37,75.61,6.08,52.05,Cauliflower,Cauliflower
70.67,35.98,43.48,25.98,74.58,6.2,134.12,Paddy(Basmati),Basmati
104.65,42.79,112.03,23.66,68.87,6.07,124.51,Ginger(Green),Green Ginger
60.95,56.39,42.43,25.18,66.32,6.91,70.86,Pumpkin,Pumpkin
27.03,51.87,26.7,21.75,50.9,6.89,98.96,Arhar Dal(Tur Dal),Arhar Dal(Tur)
36.74,62.54,34.11,28.01,70.91,6.7,107.47,Soyabean,Local
86.94,59.5,52.37,24.71,59.45,7.35,74.75,Garlic,Garlic
38.0,43.62,26.37,23.15,57.97,7.66,31.07,Bengal Gram(Gram)(Whole),Desi (Whole)
92.66,51.27,53.4,23.89,66.15,6.3,74.52,Green Chilli,Green Chilly
89.97,34.21,34.77,33.33,60.38,6.24,91.85,Bhindi(Ladies Finger),Bhindi
139.29,66.08,52.65,16.3,72.47,7.36,85.66,Cauliflower,Cauliflower
110.34,50.87,109.87,20.96,71.07,6.74,122.43,Turmeric(raw),Other
94.41,38.86,38.52,28.79,76.42,7.19,81.33,Bhindi(Ladies Finger),Bhindi
62.03,38.75,84.89,34.25,77.55,6.81,232.11,Coconut,Coconut
98.17,33.33,90.39,17.37,50.33,7.3,55.35,Grapes,Other
119.03,59.3,55.28,20.23,63.42,6.74,67.83,Cabbage,Cabbage
148.25,54.55,81.35,15.93,62.09,6.54,81.64,Orange,Orange
107.31,56.5,111.97,23.91,73.12,6.26,149.75,Ginger(Green),Green Ginger
34.94,46.74,34.71,23.1,69.71,7.23,77.75,Groundnut,Local
110.69,41.63,81.04,22.95,72.73,7.35,162.46,Turmeric(raw),Other
71.6,45.83,44.9,16.51,52.39,6.22,79.55,Garlic,Garlic
214.97,54.71,83.07,22.72,73.35,6.22,159.21,Sugarcane,Other
22.28,50.2,31.74,21.64,55.0,7.13,71.88,Groundnut,Local
235.12,76.77,254.07,31.58,87.24,6.23,225.26,Banana,Other
70.24,34.24,43.86,34.89,68.45,7.38,85.14,Bhindi(Ladies Finger),Bhindi
130.26,47.75,111.73,22.92,66.16,5.67,121.25,Turmeric(raw),Other
149.5,119.57,85.15,17.66,76.19,5.35,99.9,Potato,Potato
70.75,46.41,49.85,24.57,67.49,6.24,167.9,Paddy(Basmati),Basmati
87.73,41.28,36.4,29.26,76.38,6.41,56.04,Bhindi(Ladies Finger),Bhindi
68.15,20.07,39.95,32.86,47.27,7.12,69.0,Bajra(Pearl Millet/Cumbu),Hybrid
67.04,57.34,55.45,15.42,57.22,6.65,89.98,Garlic,Garlic
91.05,49.22,31.36,26.57,84.81,6.05,120.17,Paddy(Basmati),Basmati
61.89,43.43,59.45,29.31,65.92,7.37,78.05,Pumpkin,Pumpkin
219.41,60.49,94.29,29.45,72.14,6.38,165.03,Sugarcane,Other
51.08,20.07,92.84,21.06,72.22,5.99,89.56,Apple,Apple
114.61,53.41,59.03,15.36,65.61,7.59,57.96,Wheat,Local
41.63,38.61,76.93,21.5,76.02,6.06,91.77,Apple,Apple
