previous_crop,soil_pH,soil_type,temperature,humidity,rainfall,season,recommended_next_crop
Coriander,6.03,sandy_loam,29.86,72.39,60.18,Kharif,Maize
Cotton,7.23,silt_clay,19.42,72.69,42.46,Rabi,Mustard
Turmeric,6.88,silt_clay,19.9,53.13,69.87,Rabi,Mustard
Tomato,6.52,sandy_loam,17.16,55.55,65.63,Rabi,Wheat
Turmeric,5.83,silt_clay,15.32,82.44,68.08,Rabi,Gram
Gram,7.23,sandy_loam,28.13,67.01,166.41,Kharif,Cotton
Banana,6.77,sandy_loam,19.43,83.18,45.39,Rabi,Gram
Mustard,6.61,clay,27.94,65.62,172.7,Kharif,Cotton
Bhindi,6.36,clay,24.45,65.55,66.46,Rabi,Gram
Maize,7.21,loamy,15.88,71.24,49.1,Rabi,Mustard
Papaya,6.85,clay,18.07,63.02,43.29,Rabi,Mustard
Gram,6.67,sandy_loam,28.98,61.09,146.74,Kharif,Rice
Bhindi,6.41,silt_clay,19.32,78.96,40.99,Rabi,Mustard
Bhindi,6.23,loamy,18.62,71.05,64.4,Rabi,Gram
Turmeric,7.17,clay,18.29,64.85,76.45,Rabi,Gram
Potato,6.2,sandy_loam,26.18,82.51,191.08,Kharif,Rice
Onion,7.49,sandy,31.36,60.63,118.98,Kharif,Cotton
Onion,6.03,sandy_loam,31.56,67.4,61.92,Kharif,Maize
Coriander,7.31,clay,26.42,73.59,83.47,Kharif,Cotton
Ginger,6.38,loamy,19.15,76.79,43.26,Rabi,Wheat
Groundnut,7.28,sandy_loam,17.4,63.04,49.21,Rabi,Wheat
Coriander,7.17,silt_clay,28.19,77.74,81.61,Kharif,Maize
Coconut,5.98,sandy,30.68,73.59,216.42,Kharif,Maize
Rice,5.69,clay,23.37,72.95,157.81,Rabi,Gram
Banana,6.51,clay,21.64,73.91,59.26,Rabi,Mustard
Turmeric,6.7,clay,19.83,62.57,53.02,Rabi,Mustard
Potato,5.59,loamy,22.98,65.64,173.4,Kharif,Rice
Wheat,7.4,silt_clay,31.98,82.54,128.26,Kharif,Groundnut
Cotton,7.06,clay,17.16,57.3,51.86,Rabi,Mustard
Coriander,6.74,sandy,30.88,57.16,90.22,Kharif,Cotton
Sugarcane,7.65,sandy,22.84,70.95,56.57,Rabi,Gram
Onion,7.14,sandy,25.54,70.89,85.67,Kharif,Cotton
Maize,6.8,sandy,19.91,68.29,73.76,Rabi,Wheat
Papaya,7.17,sandy,17.91,73.09,43.94,Rabi,Mustard
Sugarcane,7.64,silt_clay,23.2,72.71,56.76,Rabi,Mustard
Gram,7.88,loamy,32.64,77.65,163.93,Kharif,Rice
Mustard,7.34,sandy,28.71,77.03,117.05,Kharif,Rice
Banana,6.23,clay,23.53,72.59,41.79,Rabi,Mustard
Coconut,5.77,sandy_loam,28.96,61.27,231.51,Kharif,Rice
Tomato,6.44,silt_clay,16.69,79.12,78.59,Rabi,Garlic
Gram,7.59,silt_clay,30.6,68.2,161.07,Kharif,Cotton
Turmeric,7.33,loamy,19.97,57.67,79.36,Rabi,Mustard
Mustard,7.52,clay,34.63,71.99,118.41,Kharif,Maize
Mustard,6.79,silt_clay,25.17,51.72,157.28,Kharif,Maize
Green Chilli,7.11,silt_clay,22.73,59.29,48.35,Rabi,Gram
Ginger,6.32,silt_clay,22.71,68.11,55.57,Rabi,Mustard
Coriander,7.28,loamy,33.19,72.92,76.81,Kharif,Maize
Groundnut,6.35,loamy,18.28,80.1,44.91,Rabi,Gram
Garlic,6.32,silt_clay,32.69,75.16,62.75,Kharif,Cotton
Brinjal,7.49,silt_clay,18.45,76.35,56.98,Rabi,Wheat
Banana,6.81,silt_clay,21.53,79.8,77.7,Rabi,Gram
Garlic,6.06,clay,31.95,58.94,103.73,Kharif,Maize
Coconut,6.35,sandy_loam,23.86,78.84,168.02,Kharif,Maize
Mustard,6.29,clay,34.64,75.13,199.26,Kharif,Maize
Ginger,5.75,clay,24.72,56.66,44.92,Rabi,Mustard
Rice,6.44,clay,23.49,82.53,224.59,Rabi,Groundnut
Green Chilli,7.39,loamy,19.15,54.34,56.8,Rabi,Gram
Turmeric,7.0,loamy,21.27,56.3,47.97,Rabi,Mustard
Papaya,7.42,sandy,21.43,55.44,56.58,Rabi,Mustard
Cotton,6.27,clay,24.08,84.88,68.02,Rabi,Wheat
Gram,7.01,silt_clay,26.25,54.54,155.68,Kharif,Cotton
Groundnut,6.97,silt_clay,16.67,84.75,62.52,Rabi,Gram
Gram,7.36,sandy,30.61,56.51,122.44,Kharif,Rice
Gram,7.76,sandy_loam,32.2,82.14,140.8,Kharif,Rice
Groundnut,6.93,loamy,20.7,75.84,45.66,Rabi,Wheat
Maize,6.59,silt_clay,20.72,67.94,57.61,Rabi,Gram
Turmeric,6.14,sandy,15.21,59.55,57.96,Rabi,Gram
Coriander,6.73,loamy,34.35,58.37,69.15,Kharif,Cotton
Sugarcane,6.17,loamy,15.81,55.15,51.92,Rabi,Mustard
Groundnut,6.11,silt_clay,16.45,74.33,45.69,Rabi,Wheat
Onion,6.13,clay,25.07,51.52,114.24,Kharif,Maize
Mustard,7.7,loamy,34.41,56.4,156.74,Kharif,Maize
Rice,6.81,silt_clay,26.12,64.69,137.16,Rabi,Groundnut
Gram,7.77,silt_clay,28.37,69.93,186.11,Kharif,Cotton
Garlic,6.26,clay,27.65,52.18,61.93,Kharif,Maize
Turmeric,6.08,loamy,24.0,63.6,65.65,Rabi,Mustard
Mango,6.39,sandy_loam,19.3,55.19,41.9,Rabi,Wheat
Ginger,5.76,silt_clay,20.99,76.73,78.27,Rabi,Wheat
Brinjal,7.37,sandy_loam,16.15,51.68,62.68,Rabi,Mustard
Brinjal,7.27,silt_clay,15.88,74.67,54.41,Rabi,Wheat
Groundnut,6.5,loamy,17.09,58.43,45.2,Rabi,Wheat
Green Chilli,7.08,clay,21.55,61.91,52.9,Rabi,Wheat
Rice,7.34,sandy,29.33,80.31,106.78,Rabi,Mustard
Tomato,7.21,loamy,22.36,70.0,53.34,Rabi,Garlic
Rice,6.64,sandy,24.94,76.41,115.44,Rabi,Wheat
Rice,6.93,clay,26.24,68.89,165.81,Rabi,Wheat
Mustard,7.0,sandy_loam,33.57,73.95,188.24,Kharif,Rice
Maize,6.04,sandy_loam,19.7,65.77,68.38,Rabi,Wheat
Sugarcane,7.88,loamy,18.23,84.57,53.03,Rabi,Gram
Garlic,6.92,sandy_loam,33.64,59.99,96.9,Kharif,Cotton
Coconut,6.08,sandy,30.67,59.19,167.23,Kharif,Maize
Ginger,6.43,clay,24.49,83.03,72.61,Rabi,Wheat
Maize,6.21,sandy_loam,17.35,60.61,57.4,Rabi,Gram
Cotton,7.7,clay,17.26,69.29,60.94,Rabi,Mustard
Mango,6.29,loamy,23.38,66.46,57.4,Rabi,Gram
Groundnut,7.35,clay,19.89,71.11,53.02,Rabi,Wheat
Coriander,6.9,clay,28.65,58.5,80.24,Kharif,Cotton
Brinjal,7.02,loamy,21.23,55.53,74.42,Rabi,Wheat
Tomato,6.97,silt_clay,21.87,62.83,87.79,Rabi,Garlic
Mustard,6.68,sandy,31.8,78.89,114.66,Kharif,Cotton
Onion,6.49,silt_clay,25.24,60.96,109.19,Kharif,Cotton
Brinjal,7.4,sandy,21.74,64.05,62.46,Rabi,Mustard
Rice,7.34,silt_clay,29.22,74.75,122.88,Rabi,Groundnut
Potato,6.66,clay,31.63,62.18,134.65,Kharif,Maize
Mango,7.48,sandy_loam,18.3,52.17,59.04,Rabi,Gram
Maize,7.43,sandy_loam,23.66,66.66,46.66,Rabi,Gram
Wheat,6.39,silt_clay,31.17,68.31,117.01,Kharif,Cotton
Coconut,6.24,clay,24.49,60.52,211.36,Kharif,Maize
Papaya,7.42,clay,22.49,72.61,58.92,Rabi,Gram
Maize,7.35,sandy,21.99,79.38,98.91,Rabi,Gram
Wheat,6.78,clay,31.95,80.1,127.99,Kharif,Gram
Turmeric,5.81,sandy_loam,20.96,65.48,59.04,Rabi,Mustard
Garlic,6.82,loamy,27.0,78.39,69.43,Kharif,Cotton
Groundnut,6.39,clay,24.06,68.07,46.15,Rabi,Wheat
Potato,6.36,loamy,25.77,81.35,127.46,Kharif,Rice
Mango,7.09,sandy_loam,18.7,75.85,51.76,Rabi,Wheat
Garlic,7.03,sandy,29.45,53.21,97.15,Kharif,Cotton
Bhindi,6.34,clay,22.87,61.0,43.39,Rabi,Mustard
Banana,7.22,sandy_loam,23.43,70.24,75.67,Rabi,Gram
Onion,6.68,sandy_loam,32.52,67.63,113.64,Kharif,Cotton
Groundnut,6.03,clay,16.08,84.53,64.77,Rabi,Gram
Mustard,6.91,sandy_loam,33.01,72.12,150.35,Kharif,Rice
Garlic,6.29,sandy,28.87,62.24,119.89,Kharif,Maize
Mustard,6.71,loamy,25.48,83.2,171.12,Kharif,Maize
Maize,6.75,clay,16.65,70.4,99.98,Rabi,Mustard
Tomato,6.39,loamy,23.24,73.9,85.04,Rabi,Garlic
Papaya,6.6,loamy,22.73,67.11,52.4,Rabi,Mustard
Potato,6.75,clay,22.57,51.84,142.74,Kharif,Maize
Mustard,7.95,clay,29.18,65.55,130.33,Kharif,Maize
Cotton,7.13,loamy,24.4,50.55,60.91,Rabi,Gram
Coriander,7.28,sandy_loam,25.42,76.86,88.99,Kharif,Maize
Maize,7.21,silt_clay,18.27,62.4,70.34,Rabi,Wheat
Banana,7.12,silt_clay,23.06,73.19,53.11,Rabi,Mustard
Maize,5.87,sandy_loam,21.87,54.01,63.03,Rabi,Wheat
Sugarcane,7.64,loamy,16.21,60.6,61.3,Rabi,Gram
Mustard,7.64,sandy_loam,31.84,67.61,176.51,Kharif,Maize
Rice,7.31,sandy_loam,22.74,57.51,156.59,Rabi,Wheat
Coriander,6.73,clay,26.55,68.9,64.84,Kharif,Cotton
Potato,6.69,sandy,26.08,59.58,113.13,Kharif,Rice
Brinjal,6.23,sandy,20.38,67.22,72.1,Rabi,Mustard
Green Chilli,7.01,sandy,19.59,57.57,59.76,Rabi,Gram
Wheat,6.28,silt_clay,28.18,83.35,132.52,Kharif,Cotton
Mustard,6.88,silt_clay,33.3,64.55,125.83,Kharif,Rice
Rice,5.96,clay,25.06,70.83,150.89,Rabi,Wheat
Coconut,7.07,sandy,27.65,54.38,225.57,Kharif,Maize
Gram,7.37,clay,29.31,56.12,198.71,Kharif,Rice
Papaya,6.73,sandy_loam,15.84,78.16,57.76,Rabi,Mustard
Mango,6.77,silt_clay,22.56,55.75,76.56,Rabi,Wheat
Mango,6.22,loamy,23.74,80.9,49.11,Rabi,Gram
Mango,7.48,sandy_loam,15.81,82.0,59.63,Rabi,Gram
Cotton,7.86,sandy,19.12,82.72,50.04,Rabi,Mustard
Rice,6.97,silt_clay,23.51,54.1,121.45,Rabi,Gram
Bhindi,6.88,silt_clay,20.56,64.16,57.16,Rabi,Mustard
Brinjal,6.73,clay,17.15,61.34,60.78,Rabi,Mustard
Onion,6.21,sandy,29.48,77.13,91.61,Kharif,Cotton
Gram,6.53,clay,28.69,54.74,151.84,Kharif,Cotton
Garlic,7.14,sandy,28.74,52.72,95.8,Kharif,Maize
Brinjal,7.11,sandy,15.64,57.92,71.72,Rabi,Mustard
Maize,6.96,clay,23.06,50.28,95.47,Rabi,Wheat
Brinjal,6.56,clay,16.94,56.94,69.3,Rabi,Wheat
Rice,7.32,loamy,21.13,84.47,225.83,Rabi,Gram
Groundnut,6.47,loamy,24.53,65.54,46.99,Rabi,Wheat
Mustard,6.31,silt_clay,25.02,59.12,151.83,Kharif,Maize
Maize,5.92,loamy,18.04,72.86,96.3,Rabi,Mustard
Tomato,6.88,sandy_loam,21.49,60.83,80.31,Rabi,Garlic
Cotton,7.28,clay,19.42,74.76,55.57,Rabi,Mustard
Mustard,6.19,sandy_loam,30.93,78.88,185.83,Kharif,Maize
Brinjal,6.53,silt_clay,19.62,50.43,55.98,Rabi,Wheat
Rice,5.74,silt_clay,28.33,56.07,158.66,Rabi,Gram
Wheat,7.72,clay,31.51,69.09,56.23,Kharif,Gram
Turmeric,5.61,sandy,23.47,66.59,62.27,Rabi,Gram
Mango,6.63,clay,22.36,50.54,75.2,Rabi,Gram
Potato,5.69,sandy,27.06,50.9,192.47,Kharif,Rice
Mango,7.05,loamy,22.71,73.22,48.63,Rabi,Wheat
Green Chilli,6.19,silt_clay,20.73,55.29,52.46,Rabi,Wheat
Cotton,7.88,silt_clay,23.64,70.54,63.24,Rabi,Gram
Papaya,6.44,clay,21.38,63.24,65.05,Rabi,Mustard
Groundnut,6.14,sandy,16.02,64.16,42.5,Rabi,Gram
Sugarcane,7.8,silt_clay,17.72,61.07,73.8,Rabi,Gram
Wheat,7.85,sandy_loam,27.44,73.5,59.29,Kharif,Maize
Groundnut,6.47,sandy_loam,24.82,81.43,45.14,Rabi,Wheat
Mustard,6.18,loamy,32.27,72.18,114.05,Kharif,Maize
Banana,6.89,sandy_loam,22.97,56.72,51.5,Rabi,Mustard
Bhindi,6.57,silt_clay,17.69,68.54,75.3,Rabi,Mustard
Sugarcane,7.34,clay,20.11,54.2,52.48,Rabi,Mustard
Coconut,6.96,loamy,25.38,63.35,247.29,Kharif,Maize
Rice,6.69,clay,28.46,83.43,123.2,Rabi,Wheat
Mustard,6.27,loamy,33.77,58.51,155.06,Kharif,Maize
Maize,5.87,sandy,24.66,54.46,82.46,Rabi,Gram
Tomato,6.73,silt_clay,16.99,60.77,52.12,Rabi,Wheat
Groundnut,7.02,silt_clay,21.15,79.13,59.76,Rabi,Wheat
Onion,7.0,clay,32.17,70.93,72.71,Kharif,Cotton
Sugarcane,6.4,silt_clay,16.14,82.11,71.11,Rabi,Gram
Wheat,7.32,loamy,34.95,65.62,83.36,Kharif,Maize
Green Chilli,6.79,silt_clay,19.32,54.27,43.15,Rabi,Gram
Maize,6.86,loamy,22.93,66.15,83.85,Rabi,Mustard
Tomato,7.49,sandy,24.03,63.81,99.06,Rabi,Onion
Wheat,7.6,clay,34.84,55.24,96.46,Kharif,Maize
Tomato,6.84,sandy,24.33,61.67,60.95,Rabi,Wheat
Turmeric,6.31,sandy_loam,15.97,70.83,79.95,Rabi,Mustard
Papaya,6.7,clay,22.06,73.97,60.62,Rabi,Gram
Potato,5.8,sandy,25.13,63.32,101.85,Kharif,Maize
Coriander,6.77,silt_clay,29.96,73.21,89.84,Kharif,Maize
Coriander,6.8,sandy,31.11,52.84,98.26,Kharif,Cotton
Wheat,6.91,clay,27.73,66.68,54.44,Kharif,Maize
Turmeric,6.21,silt_clay,15.39,66.26,72.7,Rabi,Mustard
Rice,6.68,sandy_loam,23.76,52.92,216.57,Rabi,Gram
Bhindi,6.83,loamy,20.01,58.11,61.67,Rabi,Mustard
Garlic,6.57,loamy,31.08,73.58,77.5,Kharif,Maize
Banana,7.45,sandy,15.95,70.98,51.24,Rabi,Mustard
Groundnut,6.88,sandy_loam,17.03,65.82,71.88,Rabi,Wheat
Gram,7.25,silt_clay,25.77,60.72,165.56,Kharif,Cotton
Garlic,7.14,loamy,31.25,76.51,110.46,Kharif,Cotton
Mango,7.48,clay,19.44,51.59,54.46,Rabi,Wheat
Tomato,7.0,sandy,16.32,63.17,83.61,Rabi,Wheat
Papaya,7.31,loamy,16.59,57.22,79.68,Rabi,Gram
Brinjal,6.65,sandy_loam,17.41,68.04,62.79,Rabi,Mustard
Onion,6.81,sandy,25.38,70.41,73.8,Kharif,Cotton
Ginger,5.8,clay,20.22,64.6,72.52,Rabi,Wheat
Brinjal,6.12,loamy,23.16,71.63,77.8,Rabi,Wheat
Tomato,7.41,sandy_loam,22.24,64.13,60.74,Rabi,Onion
Green Chilli,7.15,sandy_loam,22.6,72.77,55.79,Rabi,Wheat
Papaya,6.35,sandy_loam,24.95,76.35,56.35,Rabi,Mustard
Onion,7.3,sandy_loam,34.5,52.53,77.72,Kharif,Maize
Maize,6.35,sandy,20.15,78.29,55.23,Rabi,Wheat
Sugarcane,7.98,sandy_loam,23.63,59.35,61.39,Rabi,Mustard
