Category,Name,Abbreviation,Type,Implementing Agency,Focus Area,Description/Benefits,Target Beneficiaries,Official URLs
Central Government Portal/Resource,PM-KISAN Portal,,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,Official portal for Pradhan Mantri Kisan Samman Nidhi income support scheme â registration and status.,"Farmers, Officials, Researchers, General Public",https://pmkisan.gov.in
Central Government Portal/Resource,PM-KUSUM Scheme â MNRE,,Digital Portal/Platform/Resource,PM-KUSUM Scheme,Digital Infrastructure & Information Access,Official information on Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan solar scheme.,"Farmers, Officials, Researchers, General Public",https://mnre.gov.in/en/pradhan-mantri-kisan-urja-suraksha-evam-utthaan-mahabhiyaan-pm-kusum/
Central Government Portal/Resource,Pradhan Mantri Fasal Bima Yojana (PMFBY),,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,"Official portal for crop insurance enrolment, scheme guidelines and state-wise implementation.","Farmers, Officials, Researchers, General Public",https://pmfby.gov.in
Central Government Portal/Resource,Soil Health Card Portal,,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,"National portal to generate Soil Health Cards, manage soil samples and view soil test based fertiliser recommendations.","Farmers, Officials, Researchers, General Public",https://soilhealth.dac.gov.in
Central Government Portal/Resource,Soil Health Card Portal â NIC Project Page,,Digital Portal/Platform/Resource,Soil Health Card Portal,Digital Infrastructure & Information Access,"Description of SHC portal features, workflow and MIS by NIC.","Farmers, Officials, Researchers, General Public",https://www.nic.gov.in/project/soil-health-card-portal/
Central Government Portal/Resource,e-NAM Farmers Page,,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,Guidance for farmer registration and benefits from trading on e-NAM.,"Farmers, Officials, Researchers, General Public",https://enam.gov.in/web/stakeholders-Involved/farmers
Central Government Scheme,Agri Fund for Start-Ups & Rural Enterprises,AgriSURE,Central Facility,Department of Agriculture & Farmers Welfare,Funding for Agri-Startups,Dedicated funding support for agri-startups and rural enterprises in agriculture value chain,Agri-startups and rural enterprises,https://agricoop.nic.in
Central Government Scheme,Agri-Clinics and Agri-Business Centres,ACABC,Central Sector Scheme,DA&FW with NABARD,Agri-Entrepreneurship Development,Train agri-graduates and support them to start agri-enterprises providing paid services to farmers,Agriculture graduates and farmers,https://www.manage.gov.in/estudycourse/aboutus.asp
Central Government Scheme,Agricultural Technology Management Agency,ATMA,CSS under NMAET,Department of Agriculture & Farmers Welfare,District-Level Extension Services,"District-level autonomous body for need-based extension, demonstrations, farmer trainings",Farmers at district level,https://www.manage.gov.in/fpoacademy/CGSchemes/central-schemes.asp | https://westkarbianglong.assam.gov.in/schemes/agriculture-central-sector-schemes
Central Government Scheme,Agriculture Infrastructure Fund,AIF,Central Sector Financing Facility,Department of Agriculture & Farmers Welfare,Post-Harvest Infrastructure,"Loans up to â¹2 crore per project with 3% interest subvention and credit guarantee for warehouses, cold storages, processing units","Farmers, FPOs, PACS, agri-startups, cooperatives, SHGs",https://agriinfra.dac.gov.in | https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2002012
Central Government Scheme,"Central Sector Scheme for Formation & Promotion of 10,000 FPOs",FPO Scheme,Central Sector Scheme,Department of Agriculture & Farmers Welfare,Farmer Producer Organisations,"Up to â¹18 lakh per FPO for handholding, matching equity grant, credit guarantee for FPO loans",Farmer Producer Organisations,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2002012
Central Government Scheme,Crop Diversification Programme,CDP,Sub-Scheme under RKVY / PM-RKVY,Department of Agriculture & Farmers Welfare,"Shift from Water-Intensive Crops (Paddy) to Pulses, Oilseeds, Maize, Horticulture","Seeds, demonstrations, machinery, value-chain infrastructure for crop diversification in Green Revolution states","Farmers in Punjab, Haryana, Western UP and other Green Revolution states",https://pib.gov.in/PressReleasePage.aspx?PRID=1813679 | https://www.oliveboard.in/blog/crop-diversification-program
Central Government Scheme,Integrated Scheme for Agricultural Marketing,ISAM,Central Sector / CSS Umbrella,Department of Agriculture & Farmers Welfare,Market Infrastructure Development,"Market infrastructure (APMC yards, grading, standardisation, warehouses), value chain development","State Governments, farmers, market committees",https://pib.gov.in/newsite/PrintRelease.aspx?relid=107185
Central Government Scheme,Kisan Credit Card,KCC,Nationwide Credit Scheme,DA&FW with NABARD & RBI,Credit & Working Capital,Flexible working capital for crop production and allied activities at concessional interest; integrated with interest subvention and crop insurance,All farmers,https://www.nabard.org/content1.aspx?id=523&catid=23&mid=530
Central Government Scheme,Kisan Rail & Krishi Udan,Kisan Rail / Krishi Udan,Joint Initiatives,Ministry of Railways & Ministry of Civil Aviation with DA&FW,Logistics for Perishable Crops,Subsidised freight/priority rail transport for perishables; air cargo support for horticulture and high-value crops,"Farmers, FPOs, traders dealing in perishables",https://indiansouls.in/agriculture/government-schemes-for-farmers
Central Government Scheme,Micro Irrigation Fund,MIF,Fund under PMKSY,NABARD with DA&FW,Micro-Irrigation Financing,Low-cost long-term loans to states for expanding micro-irrigation coverage; interest subvention from PDMC,State Governments,https://www.nabard.org | https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2002012
Central Government Scheme,Mission Organic Value Chain Development for North Eastern Region,MOVCD-NER,Centrally Sponsored under Krishi Unnati Yojana,Department of Agriculture & Farmers Welfare,Organic Value Chains in NE India,"Organic cluster development, complete value chains (inputs, certification, aggregation, processing, marketing)",Farmers in North Eastern states,https://www.manage.gov.in/fpoacademy/CGSchemes/central-schemes.asp
Central Government Scheme,Mission for Integrated Development of Horticulture,MIDH,Centrally Sponsored Mission,Department of Agriculture & Farmers Welfare,"Horticulture Development (Fruits, Vegetables, Flowers, Spices, Plantation, Mushrooms, Bamboo)","Area expansion, protected cultivation, post-harvest infrastructure, quality planting material",Horticulture farmers and entrepreneurs,https://midh.gov.in | https://www.bookmycrop.com/blog-details/agriculture-schemes-issued-by-central-government-agriculture-dept
Central Government Scheme,Modified Interest Subvention Scheme / Interest Subvention Scheme,MISS / ISS,Central Sector Scheme,Department of Agriculture & Farmers Welfare,Interest Subvention on Crop Loans,Interest subvention on short-term crop loans; effective interest ~4% for prompt-paying farmers,Farmers with crop loans up to prescribed limit,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2002012
Central Government Scheme,Namo Drone Didi & Agricultural Drone Support,Drone Didi,Central Initiative,Department of Agriculture & Farmers Welfare,Drone Technology for Agriculture,Train and equip women SHGs with agricultural drones for spraying and services; create rural enterprises,Women SHGs and farmers,https://agricoop.nic.in
Central Government Scheme,National Agriculture Market,e-NAM,Central Sector e-Trading Platform,Department of Agriculture & Farmers Welfare,Unified Online Agricultural Market,"Links APMC mandis into unified online market; transparent price discovery, online bidding, digital payments",Farmers and traders,https://enam.gov.in | https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1496069
Central Government Scheme,National Beekeeping and Honey Mission,NBHM,Central Sector Mission,Department of Agriculture & Farmers Welfare,"Beekeeping, Honey Production & Pollination","Grants/subsidies for bee colonies, equipment, processing and marketing infrastructure",Beekeepers and farmers,https://www.manage.gov.in/fpoacademy/CGSchemes/central-schemes.asp
Central Government Scheme,National Food Security Mission,NFSM,Centrally Sponsored Mission,Department of Agriculture & Farmers Welfare,"Production Enhancement (Rice, Wheat, Pulses, Coarse Cereals, Commercial Crops)","Improved seeds, demonstrations, soil amendments, micro-nutrients, plant protection, machinery, training",All farmers growing target crops,https://testbook.com/ias-preparation/agriculture-schemes-in-india | https://pib.gov.in/newsite/PrintRelease.aspx?relid=107185
Central Government Scheme,National Mission on Agricultural Extension & Technology,NMAET,Centrally Sponsored Mission,Department of Agriculture & Farmers Welfare,"Agricultural Extension, Training, Technology Transfer","Components: SMAE (extension), ATMA (district advisory), SMSP (seeds), SMAM (mechanisation)",All farmers and extension functionaries,https://pib.gov.in/newsite/PrintRelease.aspx?relid=107185 | https://westkarbianglong.assam.gov.in/schemes/agriculture-central-sector-schemes
Central Government Scheme,National Mission on Edible Oils - Oil Palm & Oilseeds,NMEO-OP,Centrally Sponsored Scheme,Department of Agriculture & Farmers Welfare,Edible Oil Self-Sufficiency,"Planting material support, area expansion, processing infrastructure, price assurance for oil palm and oilseeds",Oil palm and oilseed farmers,https://www.manage.gov.in/fpoacademy/CGSchemes/central-schemes.asp
Central Government Scheme,National Mission on Natural Farming,NMNF,Standalone Centrally Sponsored Scheme,Department of Agriculture & Farmers Welfare,Chemical-Free Natural Farming,"Financial assistance per hectare for on-farm input preparation, training, cluster development (focus on Ganga belt and rainfed areas)",Farmers adopting natural farming,https://www.pib.gov.in/PressNoteDetails.aspx?id=155019 | https://www.bighaat.com/kisan-vedika/blogs/national-mission-on-natural-farming-nmnf
Central Government Scheme,National Mission on Sustainable Agriculture,NMSA,Centrally Sponsored Mission,Department of Agriculture & Farmers Welfare,"Climate-Resilient Agriculture, Soil Health, Water Conservation","Components: Rainfed Area Development (RAD), Soil Health Management (SHM), climate-smart practices",Farmers in rainfed and climate-vulnerable areas,https://www.indiansugar.com/PDFS/GOVERNMENT_SCHEMES_FOR_AGRICULTURE__Revised-26.12.2019.pdf | https://pib.gov.in/newsite/PrintRelease.aspx?relid=107185
Central Government Scheme,Neem Coated Urea,NCU,Policy Intervention,Department of Fertilizers,Fertilizer Efficiency,"Mandatory neem coating of urea; slows nitrogen release, reduces diversion, improves nutrient use efficiency",All farmers using urea,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1496069
Central Government Scheme,Operation Greens / PM-KSY (TOP to TOTAL),Operation Greens,Component under PMKSY (MoFPI),Ministry of Food Processing Industries,Price Stabilisation for Perishables,"Stabilize supply and prices for perishable crops (Tomato-Onion-Potato, later extended); value chain and processing support",Farmers growing perishable crops,https://www.mofpi.gov.in/en/Schemes/about-pmksy-scheme
Central Government Scheme,Paramparagat Krishi Vikas Yojana,PKVY,Component under NMSA,Department of Agriculture & Farmers Welfare,Organic Farming,"â¹31,000+ per ha over three years for cluster-based organic farming; covers inputs, certification, marketing",Farmers adopting organic farming in clusters,https://testbook.com/ias-preparation/agriculture-schemes-in-india | https://indiansouls.in/agriculture/government-schemes-for-farmers
Central Government Scheme,Per Drop More Crop / Micro Irrigation,PDMC,Component of PMKSY (Centrally Sponsored),Department of Agriculture & Farmers Welfare,Micro-Irrigation (Drip & Sprinkler),45-55% subsidy for drip and sprinkler systems (higher for small/marginal farmers); Micro Irrigation Fund with NABARD,"All farmers, especially for water-intensive crops",https://pmksy.gov.in | https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2002012
Central Government Scheme,Pradhan Mantri Fasal Bima Yojana,PMFBY,Flagship Crop Insurance Scheme (Central Sector),Department of Agriculture & Farmers Welfare,Risk Management & Crop Insurance,"Low farmer premium (2% Kharif, 1.5% Rabi, 5% commercial crops); covers pre-sowing to post-harvest losses due to non-preventable risks",All farmers (loanee & non-loanee),https://pmfby.gov.in | https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1496069
Central Government Scheme,Pradhan Mantri Kisan Maandhan Yojana,PM-KMY,Central Sector Scheme,Department of Agriculture & Farmers Welfare,Pension for Small/Marginal Farmers,"Minimum assured pension of â¹3,000/month after 60 years; voluntary contributory with government matching contribution",Small and marginal farmers with limited landholding,https://maandhan.in | https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2002012
Central Government Scheme,Pradhan Mantri Kisan Samman Nidhi,PM-KISAN,Central Sector Scheme,Department of Agriculture & Farmers Welfare,Direct Income Support,"â¹6,000 per year per eligible farmer family in three equal instalments via DBT",All landholding farmer families,https://pmkisan.gov.in | https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2002012
Central Government Scheme,Pradhan Mantri Kisan Urja Suraksha evam Utthaan Mahabhiyan,PM-KUSUM,Central Sector Scheme,Ministry of New & Renewable Energy,Solar Energy for Agriculture,"Up to 60% subsidy for solar pumps (Components: A-grid-connected solar plants, B-standalone solar pumps, C-solarization of grid pumps)",Farmers for irrigation and renewable energy income,https://mnre.gov.in/en/pradhan-mantri-kisan-urja-suraksha-evam-utthaan-mahabhiyaan-pm-kusum | https://www.ibef.org/government-schemes/pm-kusum-yojana
Central Government Scheme,Pradhan Mantri Krishi Sinchayee Yojana,PMKSY,Centrally Sponsored Scheme (Umbrella),"Multi-Ministry (DA&FW, MoWR, MoRD)",Irrigation & Water Management,Extends irrigation coverage; water use efficiency through Har Khet Ko Pani and Per Drop More Crop components,"All farmers, especially in rainfed areas",https://pmksy.gov.in | https://westkarbianglong.assam.gov.in/schemes/agriculture-central-sector-schemes
Central Government Scheme,Rashtriya Krishi Vikas Yojana / PM-RKVY / RKVY-RAFTAAR,RKVY,Flexible Umbrella Centrally Sponsored Scheme,Department of Agriculture & Farmers Welfare,"State Agriculture Development, Innovation, Infrastructure","Incentivizes states for agriculture investment; funds infrastructure, innovation, start-ups, extension, sub-schemes like CDP",State Governments and their farmer beneficiaries,https://testbook.com/ias-preparation/agriculture-schemes-in-india | https://pib.gov.in/newsite/PrintRelease.aspx?relid=107185
Central Government Scheme,Restructured Weather Based Crop Insurance Scheme,RWBCIS,Central Sector Scheme,Department of Agriculture & Farmers Welfare,Weather-Index Based Insurance,"Insurance against adverse weather parameters (rainfall, temperature, humidity) affecting crop yield",All farmers,https://pmfby.gov.in
Central Government Scheme,Soil Health Card Scheme,SHC,Central Sector Initiative,Department of Agriculture & Farmers Welfare,Soil Testing & Nutrient Management,Periodic soil testing and issue of Soil Health Cards with crop-wise fertilizer recommendations,All farmers,https://soilhealth.dac.gov.in | https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1496069
Central Government Scheme,Sub-Mission on Agricultural Mechanisation,SMAM,Central Sector & CSS Components,Department of Agriculture & Farmers Welfare,Farm Mechanisation,"40-60% subsidy on farm machinery (tractors, power tillers, harvesters, planters, drones); support for Custom Hiring Centres","Small/marginal farmers, SHGs, FPOs, CHCs",https://agrimachinery.nic.in | https://indiansouls.in/agriculture/government-schemes-for-farmers
Central Government Scheme,Sub-Mission on Agro-forestry,SMAF,Sub-Mission under NMSA,Department of Agriculture & Farmers Welfare,Tree-Based Farming Systems,"Promote tree-based farming for income diversification, soil conservation, climate resilience",Farmers with agricultural land,https://www.manage.gov.in/fpoacademy/CGSchemes/central-schemes.asp
Central Government Scheme,Sub-Mission on Seeds and Planting Material,SMSP,Sub-Mission under NMAET,Department of Agriculture & Farmers Welfare,Quality Seed Production & Distribution,Production and distribution of quality seed; seed village programs; strengthening seed processing and certification,"Seed producers, farmers",https://www.manage.gov.in/fpoacademy/CGSchemes/central-schemes.asp | https://westkarbianglong.assam.gov.in/schemes/agriculture-central-sector-schemes
Open Data Resource,"Agriculture Land Use, Held Land and Cultivating Account Holders â Catalog",,Digital Portal/Platform/Resource,"Agriculture Land Use, Held Land and Cultivating Account Holders",Digital Infrastructure & Information Access,"Dataset on agriculture land use, held land and cultivating account holders, useful for analysing landholding and utilisation patterns.","Farmers, Officials, Researchers, General Public",https://www.data.gov.in/catalog/agriculture-land-use-held-land-and-cultivating-account-holders
Open Data Resource,DA&FW Catalog Listing on OGD,,Digital Portal/Platform/Resource,Government of India,Digital Infrastructure & Information Access,Filtered catalog view showing all catalogs contributed by the Department of Agriculture and Farmers Welfare on data.gov.in.,"Farmers, Officials, Researchers, General Public",https://www.data.gov.in/catalogs?ministry=Department+of+Agriculture+and+Farmers+Welfare
Open Data Resource,Department of Agriculture and Farmers Welfare â OGD Page,,Digital Portal/Platform/Resource,Department of Agriculture and Farmers Welfare,Digital Infrastructure & Information Access,"Department-specific listing of agriculture datasets such as operational holdings, crop area and related statistics.","Farmers, Officials, Researchers, General Public",https://www.data.gov.in/ministrydepartment/Department%20of%20Agriculture%20and%20Farmers%20Welfare
Open Data Resource,Land Use Statistics (LUS) â Catalog,,Digital Portal/Platform/Resource,Land Use Statistics (LUS),Digital Infrastructure & Information Access,"National-level land use statistics (9-fold land classification, irrigated area source-wise and crop-wise, area under crops) for studying land-use patterns and crop diversification.","Farmers, Officials, Researchers, General Public",https://ap.data.gov.in/catalog/land-use-statistics-lus
Open Data Resource,Land Use Statistics (LUS) â Web Application,,Digital Portal/Platform/Resource,Land Use Statistics (LUS),Digital Infrastructure & Information Access,"Web application linked from the LUS catalog providing reports on land use classifications, source-wise irrigation and area under crops.","Farmers, Officials, Researchers, General Public",https://aps.dac.gov.in/LUS/Public/Reports.aspx
Open Data Resource,MoAFW â OGD Ministry Page,,Digital Portal/Platform/Resource,MoAFW,Digital Infrastructure & Information Access,Ministry-level view of agriculture-related catalogs and datasets published on the Open Government Data Platform.,"Farmers, Officials, Researchers, General Public",https://www.data.gov.in/ministrydepartment/Ministry%20of%20Agriculture%20and%20Farmers%20Welfare
Open Data Resource,OGD Metrics â Agriculture-related Counts,,Digital Portal/Platform/Resource,OGD Metrics,Digital Infrastructure & Information Access,"Metrics page showing counts of resources, catalogs and APIs; MoAFW and DA&FW sections indicate the scale of agriculture data available on data.gov.in.","Farmers, Officials, Researchers, General Public",https://www.data.gov.in/metrics
Open Data Resource,Open Government Data (OGD) Platform India â Home,,Digital Portal/Platform/Resource,Open Government Data (OGD) Platform India,Digital Infrastructure & Information Access,"Single-point access to open datasets and apps from all ministries and departments, including extensive agriculture-related data.","Farmers, Officials, Researchers, General Public",https://data.gov.in
State Government Portal/Scheme,Andhra Pradesh â YSR Rythu Bharosa Portal,,Digital Portal/Platform/Resource,Andhra Pradesh,Digital Infrastructure & Information Access,Official portal for the YSR Rythu Bharosa income support scheme in Andhra Pradesh where farmers and officials can access scheme details and payment status.,"Farmers, Officials, Researchers, General Public",https://ysrrythubharosa.ap.gov.in
State Government Portal/Scheme,Assam â Agriculture Department Portal,,Digital Portal/Platform/Resource,Assam,Digital Infrastructure & Information Access,"Official portal of Assam Agriculture Department providing information on central and state schemes like CMSGUY, MMKSSY, RKVY and other farmer welfare programmes.","Farmers, Officials, Researchers, General Public",https://agri.assam.gov.in
State Government Portal/Scheme,Bihar â DBT Agriculture Portal,,Digital Portal/Platform/Resource,Bihar,Digital Infrastructure & Information Access,"Official Agriculture Department, Bihar portal for farmer registration and Direct Benefit Transfer-based schemes such as input subsidy, diesel subsidy, seed and machinery subsidies and PM-KISAN integration.","Farmers, Officials, Researchers, General Public",https://dbtagriculture.bihar.gov.in
State Government Portal/Scheme,Chhattisgarh â Rajiv Gandhi Kisan Nyay Yojana Portal,,Digital Portal/Platform/Resource,Chhattisgarh,Digital Infrastructure & Information Access,"Official portal for Rajiv Gandhi Kisan Nyay Yojana providing input subsidy (â¹9,000-10,000 per acre per year) to farmers in Chhattisgarh for crop diversification and production.","Farmers, Officials, Researchers, General Public",https://rgkny.cg.nic.in
State Government Portal/Scheme,Gujarat â iKhedut Portal,,Digital Portal/Platform/Resource,Gujarat,Digital Infrastructure & Information Access,"State portal of the Agriculture, Farmers Welfare & Co-operation Department, Gujarat, used to apply online for agriculture, horticulture, animal husbandry, fisheries and other farmer schemes.","Farmers, Officials, Researchers, General Public",https://ikhedut.gujarat.gov.in
State Government Portal/Scheme,Haryana â Agriculture Department Portal,,Digital Portal/Platform/Resource,Haryana,Digital Infrastructure & Information Access,"Official portal of Haryana Agriculture and Farmers Welfare Department for scheme applications, farmer registration and information on state agriculture programmes.","Farmers, Officials, Researchers, General Public",https://agriharyana.gov.in
State Government Portal/Scheme,Haryana â Farmer Registry (AgriStack Haryana),,Digital Portal/Platform/Resource,Haryana,Digital Infrastructure & Information Access,Haryana Farmer Registration Portal issuing unique Farmer IDs under AgriStack to link farmers with government schemes and services.,"Farmers, Officials, Researchers, General Public",https://hrfr.agristack.gov.in
State Government Portal/Scheme,Haryana â Meri Fasal Mera Byora Portal,,Digital Portal/Platform/Resource,Haryana,Digital Infrastructure & Information Access,"Haryana farmer and crop registration portal used for procurement, insurance and scheme benefits with integration of land records.","Farmers, Officials, Researchers, General Public",https://fasal.haryana.gov.in
State Government Portal/Scheme,Haryana â State DBT Portal (Agriculture Schemes),,Digital Portal/Platform/Resource,Haryana,Digital Infrastructure & Information Access,"Haryana DBT portal listing agriculture schemes including Crop Diversification, Crop Residue Management, NFSM, NMOOP and Natural Farming schemes.","Farmers, Officials, Researchers, General Public",https://dbtharyana.gov.in/scheme/schemelist
State Government Portal/Scheme,Himachal Pradesh â Agriculture Produce Procurement Portal,,Digital Portal/Platform/Resource,Himachal Pradesh,Digital Infrastructure & Information Access,Portal for procurement of agriculture produce and related services for farmers in Himachal Pradesh.,"Farmers, Officials, Researchers, General Public",https://hpappp.nic.in
State Government Portal/Scheme,Jharkhand â Agriculture Department Portal,,Digital Portal/Platform/Resource,Jharkhand,Digital Infrastructure & Information Access,"Official portal of Jharkhand Agriculture Department providing information on state schemes like Mukhyamantri Krishi Ashirwad Yojana, Birsa Kisan Yojana and farmer loan waiver schemes.","Farmers, Officials, Researchers, General Public",https://agri.jharkhand.gov.in
State Government Portal/Scheme,Karnataka â FRUITS (Farmer Registration),,Digital Portal/Platform/Resource,Karnataka,Digital Infrastructure & Information Access,Farmer Registration and Unified Beneficiary Information System for Karnataka providing unique farmer ID and access to agriculture schemes.,"Farmers, Officials, Researchers, General Public",https://fruits.karnataka.gov.in
State Government Portal/Scheme,Karnataka â Raitamitra Agriculture Portal,,Digital Portal/Platform/Resource,Karnataka,Digital Infrastructure & Information Access,"Karnataka Agriculture Department portal providing information on schemes, extension services and links to FRUITS, Samrakshane and K-Kisan systems for farmers.","Farmers, Officials, Researchers, General Public",https://raitamitra.karnataka.gov.in
State Government Portal/Scheme,Kerala â AIMS (Agriculture Integrated Management System),,Digital Portal/Platform/Resource,Kerala,Digital Infrastructure & Information Access,Integrated system of Kerala Agriculture Department for departmental services; SMART component provides workflow-based claim processing for farmer applications and subsidies.,"Farmers, Officials, Researchers, General Public",https://aims.kerala.gov.in
State Government Portal/Scheme,Kerala â Farmer Registry (AgriStack Kerala),,Digital Portal/Platform/Resource,Kerala,Digital Infrastructure & Information Access,Kerala Farmer Registry portal providing unique Farmer IDs under AgriStack to enable access to government benefits.,"Farmers, Officials, Researchers, General Public",https://klfr.agristack.gov.in/farmer-registry-kl/
State Government Portal/Scheme,Madhya Pradesh â Agriculture Engineering Portal,,Digital Portal/Platform/Resource,Madhya Pradesh,Digital Infrastructure & Information Access,"Portal of Directorate of Agricultural Engineering, MP for online applications for farm machinery, implements and subsidy schemes including drone pilot training.","Farmers, Officials, Researchers, General Public",https://farmer.mpdage.org
State Government Portal/Scheme,Madhya Pradesh â Kisan Portal,,Digital Portal/Platform/Resource,Madhya Pradesh,Digital Infrastructure & Information Access,Madhya Pradesh state portal for farmer registration and applications for agriculture schemes and subsidies.,"Farmers, Officials, Researchers, General Public",http://kisan.mp.gov.in
