Scheme Name,Center/State Name,Scheme Details,Website Link,Phone,Email,Commodity Name,Responsible Ministry/Department,Implementing Office/Agency,Office Address (HQ),Address Source/Notes
National Food Security Mission (NFSM) - Pulses,Central Government,"Sub-mission to boost pulse production. Provides subsidies for certified seeds, micro-irrigation, and demonstration plots. Coverage/commodity focus: Lentil. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Lentil,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Food Security Mission (NFSM) - Pulses,Central Government,"Sub-mission to boost pulse production. Provides subsidies for certified seeds, micro-irrigation, and demonstration plots. Coverage/commodity focus: Field Pea. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: NFSM Division (DA&FW) + State Agriculture Departments. Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 1800-180-1551. Email: nfsm.hq@gov.in. Official webpage: https://nfsm.gov.in/.",https://nfsm.gov.in/,1800-180-1551,nfsm.hq@gov.in,Field Pea,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),NFSM Division (DA&FW) + State Agriculture Departments,"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Mission on Oilseeds and Oil Palm (NMOOP),Central Government,"Aims to boost production of oilseeds to reduce import dependency. Provides subsidies for seeds, fertilizers, and irrigation. Coverage/commodity focus: Groundnut. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: Concerned Division (MoA&FW/DA&FW). Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 011-23382226. Email: oilseed-dac@nic.in. Official webpage: https://nmeo.dac.gov.in/.",https://nmeo.dac.gov.in/,011-23382226,oilseed-dac@nic.in,Groundnut,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),Concerned Division (MoA&FW/DA&FW),"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Mission on Oilseeds and Oil Palm (NMOOP),Central Government,"Aims to boost production of oilseeds to reduce import dependency. Provides subsidies for seeds, fertilizers, and irrigation. Coverage/commodity focus: Soybean. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: Concerned Division (MoA&FW/DA&FW). Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 011-23382226. Email: oilseed-dac@nic.in. Official webpage: https://nmeo.dac.gov.in/.",https://nmeo.dac.gov.in/,011-23382226,oilseed-dac@nic.in,Soybean,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),Concerned Division (MoA&FW/DA&FW),"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Mission on Oilseeds and Oil Palm (NMOOP),Central Government,"Aims to boost production of oilseeds to reduce import dependency. Provides subsidies for seeds, fertilizers, and irrigation. Coverage/commodity focus: Mustard. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: Concerned Division (MoA&FW/DA&FW). Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 011-23382226. Email: oilseed-dac@nic.in. Official webpage: https://nmeo.dac.gov.in/.",https://nmeo.dac.gov.in/,011-23382226,oilseed-dac@nic.in,Mustard,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),Concerned Division (MoA&FW/DA&FW),"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Mission on Oilseeds and Oil Palm (NMOOP),Central Government,"Aims to boost production of oilseeds to reduce import dependency. Provides subsidies for seeds, fertilizers, and irrigation. Coverage/commodity focus: Sunflower. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: Concerned Division (MoA&FW/DA&FW). Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 011-23382226. Email: oilseed-dac@nic.in. Official webpage: https://nmeo.dac.gov.in/.",https://nmeo.dac.gov.in/,011-23382226,oilseed-dac@nic.in,Sunflower,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),Concerned Division (MoA&FW/DA&FW),"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Mission on Oilseeds and Oil Palm (NMOOP),Central Government,"Aims to boost production of oilseeds to reduce import dependency. Provides subsidies for seeds, fertilizers, and irrigation. Coverage/commodity focus: Castor. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: Concerned Division (MoA&FW/DA&FW). Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 011-23382226. Email: oilseed-dac@nic.in. Official webpage: https://nmeo.dac.gov.in/.",https://nmeo.dac.gov.in/,011-23382226,oilseed-dac@nic.in,Castor,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),Concerned Division (MoA&FW/DA&FW),"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Mission on Oilseeds and Oil Palm (NMOOP),Central Government,"Aims to boost production of oilseeds to reduce import dependency. Provides subsidies for seeds, fertilizers, and irrigation. Coverage/commodity focus: Sesame. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: Concerned Division (MoA&FW/DA&FW). Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 011-23382226. Email: oilseed-dac@nic.in. Official webpage: https://nmeo.dac.gov.in/.",https://nmeo.dac.gov.in/,011-23382226,oilseed-dac@nic.in,Sesame,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),Concerned Division (MoA&FW/DA&FW),"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Mission on Oilseeds and Oil Palm (NMOOP),Central Government,"Aims to boost production of oilseeds to reduce import dependency. Provides subsidies for seeds, fertilizers, and irrigation. Coverage/commodity focus: Niger. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: Concerned Division (MoA&FW/DA&FW). Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 011-23382226. Email: oilseed-dac@nic.in. Official webpage: https://nmeo.dac.gov.in/.",https://nmeo.dac.gov.in/,011-23382226,oilseed-dac@nic.in,Niger,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),Concerned Division (MoA&FW/DA&FW),"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
National Mission on Oilseeds and Oil Palm (NMOOP),Central Government,"Aims to boost production of oilseeds to reduce import dependency. Provides subsidies for seeds, fertilizers, and irrigation. Coverage/commodity focus: Safflower. Responsible authority: Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW). Implementing office/agency: Concerned Division (MoA&FW/DA&FW). Office address (HQ): Krishi Bhawan, New Delhi-110001. Typical support may include one or more of the following (scheme-specific): direct benefit transfer (DBT), input subsidy/assistance, seed/planting material support, infrastructure support (micro-irrigation/protected cultivation/storage), demonstrations/training, price support/market linkage, or risk coverage (insurance). How to apply (general): apply via the scheme/state portal (website link) or through nearest Agriculture/Horticulture office, CSC/e-Mitra/Seva Kendra, or notified bank/insurance channel (for insurance schemes). Common documents (general): Aadhaar, land record/tenant proof (if required), bank account details (IFSC), mobile number; for crop insurance: sowing/acreage details and crop/season information as notified. Helpline/phone: 011-23382226. Email: oilseed-dac@nic.in. Official webpage: https://nmeo.dac.gov.in/.",https://nmeo.dac.gov.in/,011-23382226,oilseed-dac@nic.in,Safflower,Ministry of Agriculture & Farmers Welfare (MoA&FW); Department of Agriculture & Farmers Welfare (DA&FW),Concerned Division (MoA&FW/DA&FW),"Krishi Bhawan, New Delhi-110001","PM-KISAN contact page + iGOD DA&FW directory (Krishi Bhawan, New Delhi)"
