Commodity,Category,Season,Duration_Days,Seed_Rate_kg_per_acre,Spacing_cm,Fertilizer_NPK_kg_per_acre,Irrigation_Number,Key_Operations,Harvest_Signs,Yield_kg_per_acre
Groundnut/Peanut,Oilseeds,Kharif/Rabi/Summer,110-130,40-60,30x10 or 45x15,10-20-20 + Gypsum 200-250,4-8 (season based),Gypsum at flowering CRITICAL|Earthing up|Ridge-furrow method,Lower leaves yellow|Pod veins brown|Test dig,1200-1800
Soybean,Oilseeds,Kharif (Jun-Jul),95-110,30-35,45x5 or 30x10,10-25-10,Rainfed or 2-3,Specific Rhizobium|Rust monitoring|Good drainage needed,Pods brown|Leaves shed|Seeds rattle,800-1200
Mustard/Sarson,Oilseeds,Rabi (Oct-Nov),120-150,2-3,30-45 cm rows,100-20-0 + Sulfur 20,4-6 irrigations,Flowering irrigation critical|Aphid control|Sulfur increases oil,Siliqua yellow-brown|Seeds dark|Hard,800-1200
Sunflower,Oilseeds,Kharif/Rabi,90-110,2.5-3,60x30,40-40-20,4-5 irrigations,Head drooping method harvest|Boron application beneficial,Back of head yellow|Seeds hard|Moisture 18-20%,800-1200
Castor,Oilseeds,Kharif/Rabi,180-240,4-5,90x60 or 90x90,40-20-20,4-5 irrigations,Long duration crop|Multiple pickings|Semi-perennial,Spikes dry|Seeds shed easily,800-1200
Sesame/Til,Oilseeds,Kharif/Rabi/Summer,85-110,1.5-2,30x10,20-20-0,3-4 light,Shallow sowing|Waterlogging very sensitive|Capsules mature unevenly,Lower pods yellow-brown|Harvest before shattering,200-400
Niger/Ramtil,Oilseeds,Kharif,110-130,2.5-3,30x10,30-15-0,Rainfed,Hill crop|Drought resistant|Low input crop,Capitulum dry|Seeds black,200-400
Safflower,Oilseeds,Rabi (Oct-Nov),120-150,10-12,45x15-20,40-20-0,2-3 irrigations,Drought tolerant|Deep rooted|Good for rainfed,Flowers dry|Seeds hard,600-800
Linseed/Flax,Oilseeds,Rabi (Oct-Nov),120-140,10-12,30x5-8,30-15-0,2-3 irrigations,Cool weather crop|Wilt susceptible|Omega-3 rich,Capsules brown|Seeds rattle,400-600
Cotton (Desi),Fiber Crops,Kharif (May-Jun),150-180,5-6,60-75x30-45,50-25-25,6-8 irrigations,Wilt resistant varieties MUST|Multiple pickings|Bollworm management critical,Bolls open|Fluffy white cotton|50% bolls open for 1st picking,800-1200 (lint)
Cotton (Bt Hybrid),Fiber Crops,Kharif (May-Jun),160-180,2.5-3,90-120x60-75,80-40-40,8-10 irrigations,Wide spacing|Higher inputs|Better pest control|Multiple pickings,4-5 pickings at 15-day intervals,1200-2000 (lint)
Jute,Fiber Crops,Kharif (Mar-May),120-150,2.5-3,Broadcasting,30-15-15,Rainfed + 2-3,High humidity needed|Retting critical|Warm humid climate,Flowering starts|50% plants flower|Leaves yellow,1200-1600 (fiber)
Sugarcane,Fiber Crops,"Feb-Mar (Spring), Sep-Oct (Autumn)",300-365,2000-2500 (3-bud setts),90x60 or 120x60,200-80-80 (split doses),15-20 irrigations,Earthing up critical|Trash mulching|Intercropping initial stage|Red rot monitoring,Leaves dry|12-15 months crop|Brix 18-20%,30000-40000 (cane)
Tomato,Vegetables-Solanaceous,Kharif/Rabi/Summer,90-120 (transplant to harvest),100-150g seed (for acre),60-75x45-60,80-50-50,10-15 irrigations,Nursery raising|Transplanting at 4-5 leaf|Staking for indeterminate|Regular disease sprays,Fruits firm|Full color|Slight soft touch,10000-15000
Potato,Vegetables-Solanaceous,"Rabi (Oct-Nov) Plains, Kharif Hills",90-120,1000-1200 (tubers 30-40g),50-60x15-20,80-50-50,6-8 irrigations,Earthing up CRITICAL|Certified seed tubers|Late blight prevention sprays,Plants turn yellow|Skin firm|Maturity 90-120 days,8000-12000
Brinjal/Eggplant,Vegetables-Solanaceous,Year-round (region based),120-150,200-250g seed,60-75x45-60,100-50-50,12-15 irrigations,Nursery|Transplanting|Shoot & fruit borer control|Multiple pickings,Fruits shiny|Full size|Tender|3-4 days interval picking,12000-16000
Chilli/Hot Pepper,Vegetables-Solanaceous,Kharif/Rabi,150-180,500-800g seed,60x45 or 75x45,100-50-50,15-20 irrigations,Nursery raising|Anthracnose sprays|Multiple pickings green or dry,Fruits red/green (purpose based)|Shiny|Firm,"4000-6000 (green), 800-1200 (dry)"
Bell Pepper/Capsicum,Vegetables-Solanaceous,Year-round (protected),90-110,100-150g seed,60x45,120-60-60,20-25 drip irrigations,Protected cultivation ideal|High input crop|Disease control critical,Full size|Firm|Glossy|Color developed,15000-25000
Bitter Gourd/Karela,Vegetables-Cucurbits,Summer/Kharif,80-100,2-2.5,2x2 meter or 3x1 meter,50-25-25,15-20 irrigations,Staking essential|Virus management|Fruit fly control|Alternate day picking,Fruits tender|Dark green|12-15cm length,4000-6000
Bottle Gourd/Lauki,Vegetables-Cucurbits,Summer/Kharif,80-100,1.5-2,2.5x1 meter,50-25-25,15-20 irrigations,Trailing on ground or staking|Fruit fly control|Daily picking,Fruits tender|Thumbnail impression|Light green,8000-12000
Cucumber,Vegetables-Cucurbits,Summer/Kharif,60-80,1-1.5,1.5x0.6 meter or 1x1 meter,40-20-20,15-18 irrigations,Short duration|Mulching beneficial|Downy mildew control,Fruits tender|Uniform green|12-15cm,6000-8000
Pumpkin,Vegetables-Cucurbits,Summer/Kharif,90-120,1.5-2,3x2 meter or 4x2 meter,50-25-25,10-12 irrigations,Trailing habit|Earthing near vine|Fruit fly control,Fruit mature|Hard rind|Dry tendril,15000-20000
Ridge Gourd/Turai,Vegetables-Cucurbits,Summer/Kharif,80-100,2-2.5,2x1 meter,50-25-25,15-20 irrigations,Staking needed|Virus control|Alternate day picking,Fruits tender|Light green|20-25cm,5000-7000
Watermelon,Vegetables-Cucurbits,Summer (Feb-Mar),80-100,1-1.5,3x1.5 meter or 2.5x2.5 meter,50-25-25,8-10 irrigations,Sandy soil preferred|Mulching with straw|Stop irrigation near maturity,Tendril dry near fruit|Thump sound hollow|Ground spot yellow,15000-20000
Muskmelon/Kharbuja,Vegetables-Cucurbits,Summer (Feb-Mar),80-100,1-1.5,2x1.5 meter,40-25-25,8-10 irrigations,Light soil|Stop irrigation at maturity|Powdery mildew control,Fruits slip from stem|Aroma|Color change,10000-15000
Cabbage,Vegetables-Cole Crops,Rabi (Sep-Oct),90-120,200-250g seed,45-60x30-45,120-60-60,10-12 irrigations,Nursery|Transplanting|Diamondback moth control|Black rot prevention,Head compact|Firm|3-5 kg size,20000-30000
Cauliflower,Vegetables-Cole Crops,Rabi (Sep-Oct),90-120,200-250g seed,45-60x30-45,120-60-60,10-12 irrigations,Nursery|Transplanting|Blanching by tying leaves|Aphid control,Curd compact|White|Firm|15-20cm diameter,15000-20000
Broccoli,Vegetables-Cole Crops,Rabi (Sep-Oct),80-100,200g seed,45x45 or 60x45,120-60-60,10-12 irrigations,Cool weather crop|Head harvest before flowering|High value crop,Head tight|Dark green|Before flower buds open,8000-10000
Radish,Vegetables-Root,Rabi/Summer,40-60,3-4,30-45x5-8,40-20-20,8-10 light,Fast growing|Direct sowing|Good drainage|Flea beetle control,Roots 15-20cm|Firm|Smooth skin,8000-12000
Carrot,Vegetables-Root,Rabi (Sep-Oct),90-110,2-3,30-45x5-8,40-25-25,10-12 light frequent,Direct sowing|Thinning needed|Good tilth soil|Weed free,Roots orange|15-20cm|Firm|Smooth,10000-15000
Onion,Vegetables-Alliums,Kharif/Rabi,120-150,3-4 (seed) or 250-300 (sets),15x10,50-25-25,10-15 light,Nursery or sets|Transplanting|Purple blotch control|Stop irrigation before harvest,Tops fall|Necks soft|Bulbs firm,10000-15000
Garlic,Vegetables-Alliums,Rabi (Oct-Nov),150-180,200-250 (cloves),15x10,40-25-25,8-10 irrigations,Clove planting|Bulb crop|Purple blotch control|Cure after harvest,Tops dry|50-60% tops fall,4000-6000
Pea/Garden Pea,Vegetables-Legumes,Rabi (Oct-Nov),70-90,30-35,30x5-8,10-20-20,4-5 irrigations,Support for tall types|Multiple pickings|Powdery mildew control,Pods plump|Green|Tender|2-3 days interval,3000-5000 (green pods)
French Bean/Rajma,Vegetables-Legumes,Rabi/Summer/Kharif,60-80,25-30,45x10-15,10-20-20,6-8 irrigations,Bush or pole type|Multiple pickings|Rust control,Pods tender|Snap easily|Before bulging,4000-6000
Cluster Bean/Guar,Vegetables-Legumes,Kharif,80-100,10-12,30-45x10,10-20-0,4-5 or rainfed,Drought tolerant|Rainfed suitable|Green manure also,Pods tender|8-12cm|Multiple pickings,3000-5000
Okra/Bhindi/Lady Finger,Vegetables-Legumes,Summer/Kharif,100-120,6-8,45-60x20-30,50-30-30,12-15 irrigations,Warm weather|Yellow vein mosaic control|Alternate day picking,Pods tender|10-12cm|Finger pressure soft,5000-8000
Sweet Potato,Root & Tubers,Kharif/Summer,100-120,Vines 200-250 (25cm cuttings),60x30,25-30-50,6-8 irrigations,Vine planting|Earthing up|Weevil control|High K requirement,Leaves yellow|Vines dry|Skin firm,8000-12000
Tapioca/Cassava,Root & Tubers,Feb-Mar or Aug-Sep,270-300,5000-6000 (25cm setts),90x90,50-25-25,8-10 irrigations,Sett planting|Long duration|Earthing up|Weed control initial stage,9-10 months|Leaves yellow|Starch high,15000-25000
Yam/Suran,Root & Tubers,Jun-Jul,240-270,800-1000 (small tubers),60x60 or 75x75,80-40-60,15-20 irrigations,Tuber planting|Staking for vines|High value crop,Leaves yellow|8-9 months,10000-15000
Colocasia/Arvi,Root & Tubers,Kharif,210-240,600-800 (corms),45-60x30-45,80-40-60,High water requirement,Corm/sucker planting|Moist soil needed|7-8 months,Leaves yellow|Dormancy starts,8000-12000
Mango,Fruits-Tropical,"Flowering Dec-Feb, Harvest Apr-Jul",Perennial,Grafted plants,10x10 meter,Young: 500g NPK|Bearing: 1-2 kg NPK per tree,"Weekly in summer, fortnightly in winter",Manuring in monsoon|Flowering sprays for PM/Anthracnose|Pruning|Fruit thinning,Color change|Slight softening|Aroma|TSS 12-15%,5000-10000 fruits per acre (mature orchard)
Banana,Fruits-Tropical,Year-round (region based),11-13 months,1200-1500 (suckers) or tissue culture,1.8x1.8 or 2x2 meter,200-100-300 per crop,50-60 irrigations (weekly),Sucker/TC planting|Desuckering|Propping|Denavelling|Bunchy top control,Fingers fully developed|Green mature|75-80% maturity,15000-25000 kg bunches
Papaya,Fruits-Tropical,Year-round,10-12 months (first harvest),200-250g seed for acre,1.8x1.8 or 2x2 meter,150-150-150 per plant per year,3-4 days interval,Nursery|Pit planting|Roguing males|Ringspot virus control|Fruit fly,Color break|Yellow tinge|Soft at blossom end,30000-50000 kg
Guava,Fruits-Tropical,Rainy season (Jun-Sep) & Winter (Dec-Feb),Perennial,Grafted plants,5x5 or 6x6 meter,Young: 300g NPK|Bearing: 800g-1kg NPK,15-20 days interval,Manuring twice|Pruning after harvest|Wilt management|Fruit fly control,Color change yellow-green|Aroma|Slight soft,50-100 kg per tree
Coconut,Fruits-Tropical,Year-round,Perennial (60-80 years),160-200 plants per acre,7.5x7.5 meter,500g N + 300g P + 1200g K per palm per year,"Summer: weekly, Others: fortnightly",Large pits|Basin irrigation|Mulching|Green manure intercrop|Root wilt control,Brown husk|Water sloshing sound|10-12 months after opening,60-80 nuts per palm per year
Pineapple,Fruits-Tropical,Apr-May or Aug-Sep,18-24 months,15000-20000 (suckers),60x30x30 or 90x30x30,4g N + 2g P + 4g K per plant,Alternate days,Sucker planting|Mulching|Ethrel for uniform flowering|Fruit rot control,Eyes flatten|Color change|Aroma|Bottom fruits yellow,40000-60000 fruits
Lemon/Lime,Fruits-Citrus,Year-round,Perennial,400-500 plants per acre,4.5x4.5 or 5x5 meter,Young: 250g NPK|Bearing: 600-800g NPK,7-10 days interval,Budded plants|Canker control|Citrus psylla control|Gummosis prevention,Full size|Color yellow|Slight soft,300-500 fruits per tree
Sweet Orange,Fruits-Citrus,Nov-Feb (harvest),Perennial,Grafted plants,6x6 meter,Bearing: 800g-1kg NPK,10-15 days,Budded plants|Canker & gummosis control|Leaf miner management,TSS 8-10 Brix|Juice 40-45%|Color orange,200-400 fruits per tree
Apple,Fruits-Temperate,Sep-Nov (harvest),Perennial,400-500 plants per acre,4x4 or 5x5 meter,600-800g NPK per tree,7-10 days,Grafted plants|Pruning|Thinning|Scab control|Chilling requirement 1000-1400 hrs,Color developed|Slight soft|Seed brown,80-150 kg per tree
Strawberry,Fruits-Temperate,Sep-Oct (planting),5-6 months,20000-25000 runners,30x30 or 40x30,40-60-40,Drip - alternate days,Raised beds|Mulching|Runner removal|Anthracnose control|High value,Red color|Aroma|2-3 days interval picking,10000-15000
Grapes,Fruits-Other,Jan-May (harvest),Perennial,Grafted vines,3x3 meter (Pandal),400-600g NPK per vine,Weekly,Pandal/Bower system|Pruning critical|Powdery mildew control|Berry thinning,TSS 16-18 Brix|Full color|Berries sweet,10-20 kg per vine
Pomegranate,Fruits-Other,5-6 months after flowering,Perennial,400-500 plants,4.5x4.5 or 5x5 meter,Bearing: 500-600g NPK,7-10 days,Cuttings|3 seasons crop possible|Wilt management|Fruit cracking control,Color developed|Calyx dry|Clicking sound,50-80 fruits per tree
Ginger,Spices,Apr-May,240-270 days,600-800 (rhizomes),30-45x15-20,40-25-40,Frequent light,Raised beds|Mulching|Rhizome rot control|Shade beneficial,Leaves yellow|Dry|8-9 months,4000-6000
Turmeric,Spices,Apr-May,240-270 days,800-1000 (rhizomes),30-45x15-20,40-25-40,Moderate,Raised beds|Mulching|Long duration|Rhizome rot control,Leaves yellow|8-9 months|Skin golden,6000-8000
Chilli (dry),Spices,Kharif/Rabi,150-180,500-800g seed,60-75x45,100-50-50,15-20,See vegetable chilli|Multiple pickings for dry chilli,Fruits red|Dry|Anthracnose control critical,800-1200 (dry)
Coriander,Spices,Rabi (Oct-Nov),90-120,10-12,30x10,40-20-0,3-4 light,Cool weather|Broadcast or line|Multiple cuttings for leaves,Seeds brown|Umbels dry|Aroma,600-800
Cumin/Jeera,Spices,Rabi (Nov-Dec),100-120,8-10,30x10,30-15-0,3-4 light,Cool weather|Wilt & blight control|Rajasthan & Gujarat main areas,Plants yellow|Seeds brown,300-500
Fenugreek/Methi,Spices,Rabi (Oct-Nov),90-120,10-12,20-30x10,20-20-0,3-4,Dual purpose (leaf + seed)|Multiple cuttings for leaf,Pods brown|Seeds hard,"600-800 (seed), 10000-15000 (leaf)"
Tea,Plantation Crops,Year-round plucking,Perennial (50+ years),12000-15000 plants per acre,1.2x0.6 meter,45g N per bush per year (split),Region based,Seedlings|Shade trees|Pruning cycle|Blister blight control|Plucking 2 leaves+bud,Tender leaves|Two leaves and a bud,1500-2000 kg made tea
Coffee (Arabica),Plantation Crops,Nov-Feb (harvest),Perennial,1200-1500 plants,2.5x2.5 or 3x2 meter,100-150g NPK per plant,Summer: weekly,Seedlings|Shade trees|Pruning|White stem borer control|Berry borer,Berries red|Cherry stage|Floats in water,600-800 kg clean coffee
Rubber,Plantation Crops,Year-round tapping,Perennial (30 years),400-500 plants,5x5 or 6x4 meter,Region based fertilization,Region based,Seedlings|Tapping after 6-7 years|Panel management|Leaf disease control,Panel tapping|Latex collection,1000-1500 kg dry rubber
Arecanut/Betelnut,Plantation Crops,Year-round,Perennial,500-700 palms,2.7x2.7 meter,100g N + 40g P + 140g K per palm,Summer: weekly,Seedlings|Pits|Mulching|Intercropping pepper|Fruit rot control,Color orange-red|9-10 months from flowering,5-15 kg dry nuts per palm
Marigold,Ornamentals,Year-round (region based),60-90,200-300g seed,30x30 or 45x30,60-30-30,3-4 days interval,Nursery|Transplanting|Pinching for bushy|Multiple pickings,Flowers fully open|Morning harvest,8000-12000 (thousand flowers)
Rose,Ornamentals,Oct-Mar (peak),Perennial,10000-12000 plants,1x0.6 or 0.75x0.75 meter,200g NPK per plant per year,Drip - daily in summer,Budded plants|Pruning June-July|Powdery mildew control|De-budding,Bud stage (tight)|Color showing,50-150 flowers per plant per year
Chrysanthemum,Ornamentals,Oct-Mar,90-120,25000-30000 cuttings,30x30 or 40x30,80-40-40,Alternate days,Terminal cuttings|Pinching|Disbudding|Staking|Photoperiod sensitive,Flowers fully open|Tight for transport,25000-40000 flowers
Tuberose,Ornamentals,Feb-Mar or Jul-Aug,90-120,40000-50000 bulbs,30x30 or 30x20,100-50-50,4-5 days interval,Bulb planting|Spike emergence 80-90 days|High fragrance|Thrips control,Lower florets open|Morning harvest,100000-150000 spikes
Jasmine,Ornamentals,Year-round (peak summer),Perennial,6000-8000 plants,1.5x1.5 or 2x1 meter,300g NPK per plant per year,3-4 days,Cuttings|Layering|Pruning|Daily picking morning|Bud borer control,Buds mature|Before opening|High fragrance,2-4 kg flowers per plant per year
Mushroom (Button),Special Crops,Year-round (controlled),60-75 days,60-80 kg spawn per 1000 kg compost,Beds/Shelves,Compost-based cultivation,Humidity 80-90%,Compost preparation|Spawning|Casing|Temperature 22-25°C|Humidity control,Tight buttons|Before veil breaks|White color,15-20 kg per 100 kg compost
