crop,soil_type,soil_pH,temperature,humidity,rainfall,season,N_dosage,P_dosage,K_dosage
Cotton,sandy_loam,7.79,15.16,86.09,51.42,Kharif,116.0,66.0,62.0
Cotton,clay,7.67,30.02,88.26,241.61,Rabi,113.0,52.0,65.0
Cotton,loamy,6.29,24.29,88.88,182.38,Rabi,133.0,56.0,62.0
Potato,loamy,5.56,18.57,69.27,154.85,Kharif,170.0,88.0,134.0
Wheat,sandy,7.15,34.47,50.07,42.0,Kharif,125.0,68.0,46.0
Wheat,loamy,5.39,28.52,82.93,242.17,Rabi,120.0,57.0,38.0
Cotton,clay,7.87,29.9,68.36,104.16,Kharif,108.0,64.0,58.0
Cotton,sandy_loam,5.84,25.45,57.25,62.01,Rabi,107.0,52.0,67.0
Wheat,sandy_loam,7.72,23.38,79.17,96.35,Kharif,137.0,57.0,36.0
Sugarcane,clay,7.03,16.82,47.36,146.85,Rabi,196.0,110.0,77.0
Sugarcane,clay,5.85,21.14,50.96,206.39,Rabi,229.0,103.0,85.0
Sugarcane,sandy,5.31,32.93,69.27,236.24,Rabi,344.0,94.0,120.0
Potato,loamy,6.23,18.63,63.36,159.48,Kharif,186.0,97.0,122.0
Sugarcane,sandy_loam,7.27,15.37,46.78,116.64,Rabi,281.0,96.0,108.0
Maize,sandy,5.06,30.45,48.55,49.22,Kharif,165.0,85.0,62.0
Sugarcane,sandy,5.03,22.39,70.34,135.08,Kharif,279.0,119.0,109.0
Sugarcane,sandy,6.54,26.76,58.56,180.67,Rabi,307.0,97.0,119.0
Potato,sandy_loam,7.79,25.78,63.1,156.13,Rabi,171.0,111.0,118.0
Potato,loamy,5.67,26.15,84.47,164.74,Rabi,187.0,98.0,113.0
Wheat,sandy_loam,5.6,19.22,74.41,86.14,Rabi,119.0,57.0,44.0
Cotton,clay,7.65,33.21,87.94,202.38,Rabi,110.0,65.0,56.0
Cotton,clay,5.93,27.0,51.89,162.69,Rabi,129.0,60.0,60.0
Wheat,sandy,7.63,29.58,55.07,165.87,Kharif,127.0,65.0,46.0
Potato,sandy,6.35,17.51,52.25,68.06,Kharif,215.0,94.0,124.0
Cotton,sandy_loam,6.52,25.54,42.0,213.43,Kharif,135.0,53.0,63.0
Rice,loamy,6.06,19.74,79.03,97.71,Kharif,111.0,53.0,55.0
Sugarcane,clay,7.21,21.98,87.22,188.95,Rabi,205.0,102.0,80.0
Rice,loamy,5.39,29.32,85.45,77.73,Rabi,96.0,50.0,49.0
Potato,sandy,7.26,15.74,59.69,202.53,Rabi,185.0,96.0,124.0
Potato,clay,5.89,16.02,89.78,129.85,Rabi,163.0,111.0,114.0
Wheat,sandy,6.15,29.38,67.38,238.19,Rabi,123.0,59.0,41.0
Sugarcane,sandy,5.71,18.03,59.46,225.49,Rabi,321.0,125.0,106.0
Rice,loamy,7.26,18.17,84.04,223.09,Kharif,111.0,43.0,55.0
Cotton,sandy,6.28,34.67,56.44,224.05,Rabi,114.0,66.0,68.0
Tomato,clay,7.2,15.79,79.91,203.85,Rabi,154.0,117.0,83.0
Potato,sandy_loam,5.1,27.9,70.3,98.64,Rabi,177.0,91.0,133.0
Rice,clay,6.58,24.26,51.73,103.67,Kharif,91.0,50.0,40.0
Cotton,clay,5.67,24.45,43.06,149.63,Rabi,126.0,62.0,60.0
Cotton,clay,5.09,15.42,59.78,237.61,Rabi,118.0,54.0,60.0
Cotton,loamy,6.42,33.55,50.57,156.49,Rabi,107.0,62.0,57.0
Sugarcane,loamy,6.25,19.24,66.08,176.25,Kharif,244.0,95.0,105.0
Sugarcane,clay,5.04,34.98,69.08,78.02,Rabi,245.0,93.0,93.0
Rice,loamy,5.66,16.65,74.02,177.45,Kharif,111.0,57.0,43.0
Sugarcane,sandy,7.67,33.27,63.04,209.42,Kharif,337.0,117.0,131.0
Cotton,loamy,5.68,27.79,62.85,124.03,Kharif,107.0,68.0,68.0
Cotton,clay,5.74,19.87,87.85,136.97,Kharif,124.0,53.0,63.0
Potato,sandy_loam,7.04,15.98,43.02,73.45,Kharif,189.0,110.0,131.0
Wheat,sandy,6.67,29.14,73.13,209.62,Kharif,139.0,68.0,55.0
Wheat,sandy_loam,7.78,31.57,56.15,89.82,Rabi,129.0,67.0,44.0
Wheat,loamy,5.98,19.41,86.26,222.27,Kharif,134.0,59.0,41.0
Maize,loamy,5.76,21.5,81.74,199.98,Rabi,143.0,72.0,55.0
Tomato,sandy,6.35,18.38,56.32,103.64,Rabi,216.0,151.0,120.0
Wheat,loamy,6.92,32.07,76.87,225.26,Kharif,105.0,69.0,39.0
Sugarcane,clay,7.86,24.02,46.49,63.05,Kharif,212.0,93.0,78.0
Tomato,sandy,5.97,21.71,74.94,139.48,Rabi,217.0,121.0,124.0
Maize,loamy,5.55,17.62,69.58,172.93,Rabi,151.0,77.0,65.0
Potato,sandy,6.95,23.5,80.57,232.97,Kharif,179.0,97.0,165.0
Rice,loamy,6.95,27.42,57.62,216.7,Kharif,110.0,46.0,43.0
Tomato,loamy,7.57,16.56,68.8,187.23,Kharif,175.0,112.0,93.0
Sugarcane,sandy_loam,6.63,21.63,48.76,201.38,Kharif,286.0,94.0,109.0
Cotton,clay,6.9,23.54,84.97,149.05,Kharif,113.0,64.0,60.0
Tomato,loamy,6.41,20.83,63.88,124.99,Kharif,174.0,120.0,108.0
Maize,sandy,5.83,34.93,84.66,147.81,Kharif,184.0,67.0,79.0
Rice,loamy,5.69,24.14,49.52,50.99,Rabi,105.0,51.0,53.0
Wheat,sandy_loam,7.02,32.95,62.36,131.76,Rabi,105.0,54.0,43.0
Sugarcane,sandy_loam,6.12,19.46,81.96,139.92,Rabi,264.0,115.0,113.0
Rice,clay,6.82,23.66,78.72,219.04,Kharif,94.0,45.0,45.0
Sugarcane,clay,5.5,23.76,47.1,219.72,Kharif,214.0,110.0,77.0
Sugarcane,clay,5.16,30.64,70.79,106.19,Rabi,237.0,100.0,79.0
Tomato,clay,7.62,32.29,66.69,43.99,Rabi,171.0,122.0,88.0
Maize,loamy,5.1,24.39,86.23,123.49,Kharif,131.0,78.0,67.0
Cotton,clay,5.87,32.02,62.92,45.04,Kharif,129.0,58.0,56.0
Cotton,sandy_loam,7.12,18.65,45.81,216.06,Rabi,133.0,54.0,64.0
Potato,sandy_loam,7.76,18.26,67.94,156.66,Kharif,179.0,111.0,110.0
Sugarcane,loamy,5.73,16.58,41.22,92.76,Kharif,267.0,95.0,105.0
Cotton,clay,7.22,21.57,64.66,232.39,Kharif,129.0,59.0,53.0
Cotton,sandy,7.36,33.84,83.85,83.82,Kharif,129.0,60.0,68.0
Cotton,sandy_loam,7.91,18.14,82.65,187.54,Rabi,106.0,52.0,51.0
Sugarcane,sandy,7.7,15.62,53.57,193.56,Kharif,268.0,108.0,116.0
Tomato,sandy_loam,5.31,20.77,89.18,164.54,Rabi,199.0,102.0,104.0
Potato,sandy_loam,7.81,22.79,52.05,87.52,Kharif,154.0,106.0,132.0
Potato,clay,7.44,16.67,53.53,212.61,Rabi,156.0,104.0,117.0
Rice,clay,5.33,32.08,61.96,217.86,Rabi,83.0,47.0,42.0
Wheat,sandy_loam,7.18,33.85,81.61,170.91,Kharif,110.0,57.0,37.0
Rice,loamy,7.16,17.83,50.6,211.93,Kharif,97.0,45.0,53.0
Wheat,sandy,7.93,19.85,73.17,216.21,Rabi,141.0,66.0,54.0
Cotton,loamy,6.57,15.86,57.12,56.14,Kharif,134.0,61.0,67.0
Cotton,loamy,5.68,33.39,75.14,201.41,Rabi,115.0,56.0,66.0
Potato,loamy,6.53,29.6,74.92,199.78,Rabi,177.0,111.0,110.0
Sugarcane,clay,5.86,31.91,45.84,47.58,Rabi,258.0,106.0,82.0
Cotton,sandy,5.76,33.8,59.8,190.85,Kharif,149.0,60.0,67.0
Potato,loamy,7.83,28.08,66.64,82.74,Kharif,195.0,92.0,137.0
Sugarcane,sandy_loam,5.72,21.22,67.19,228.94,Kharif,252.0,96.0,103.0
Potato,sandy,5.25,33.6,62.27,181.59,Kharif,192.0,100.0,133.0
Potato,sandy_loam,5.23,27.42,52.39,229.69,Kharif,174.0,95.0,120.0
Rice,sandy_loam,6.81,32.26,81.12,76.4,Kharif,101.0,47.0,50.0
Rice,sandy_loam,5.45,32.03,89.57,192.64,Kharif,106.0,56.0,54.0
Rice,sandy,6.45,24.86,44.16,59.26,Rabi,114.0,58.0,70.0
Cotton,sandy_loam,7.45,19.7,73.84,130.44,Kharif,131.0,54.0,67.0
Maize,loamy,6.05,31.74,43.34,237.89,Kharif,157.0,61.0,54.0
Maize,clay,5.21,20.12,49.84,43.34,Rabi,143.0,68.0,49.0
Sugarcane,loamy,5.58,26.25,43.73,113.1,Rabi,277.0,86.0,88.0
Tomato,loamy,6.88,31.74,43.08,244.15,Rabi,193.0,134.0,91.0
Sugarcane,sandy_loam,7.64,29.58,45.21,214.62,Rabi,266.0,96.0,92.0
Tomato,clay,5.18,32.66,73.71,117.75,Kharif,161.0,114.0,98.0
Cotton,loamy,6.21,16.42,78.38,54.96,Kharif,133.0,56.0,65.0
Sugarcane,clay,5.78,27.22,42.04,243.59,Kharif,259.0,98.0,102.0
Cotton,sandy_loam,5.88,16.0,81.5,230.32,Rabi,123.0,62.0,66.0
Tomato,loamy,5.47,15.15,57.2,197.81,Kharif,179.0,113.0,100.0
Wheat,sandy,7.86,30.09,62.27,164.37,Rabi,119.0,57.0,48.0
Rice,sandy,6.98,28.85,82.46,92.43,Kharif,125.0,58.0,56.0
Tomato,loamy,7.43,34.19,52.55,88.14,Kharif,199.0,133.0,101.0
Tomato,clay,5.58,28.89,66.82,166.84,Kharif,146.0,128.0,99.0
Rice,clay,7.86,19.53,83.97,209.85,Kharif,85.0,47.0,50.0
Sugarcane,sandy_loam,7.87,32.35,76.38,55.83,Rabi,255.0,113.0,107.0
Wheat,clay,7.15,26.13,82.74,235.21,Kharif,108.0,61.0,33.0
Wheat,sandy_loam,6.63,34.57,80.5,156.7,Kharif,118.0,62.0,41.0
Maize,loamy,7.35,27.45,55.75,153.79,Rabi,141.0,65.0,55.0
Rice,sandy,6.59,31.3,64.9,54.11,Kharif,125.0,60.0,59.0
Tomato,loamy,7.69,21.49,58.96,204.41,Rabi,173.0,107.0,108.0
Tomato,sandy,7.62,18.11,81.14,93.51,Kharif,197.0,129.0,122.0
Wheat,loamy,5.35,26.76,73.35,82.15,Kharif,121.0,52.0,34.0
Tomato,sandy_loam,6.48,17.56,86.49,106.95,Kharif,191.0,102.0,97.0
Sugarcane,loamy,7.06,33.1,70.38,135.18,Rabi,233.0,86.0,102.0
Potato,sandy_loam,7.27,16.43,82.51,214.16,Kharif,189.0,90.0,118.0
Maize,loamy,7.68,15.62,84.77,50.61,Rabi,168.0,70.0,59.0
Sugarcane,sandy_loam,5.79,28.46,48.91,59.61,Kharif,229.0,99.0,111.0
Cotton,sandy_loam,7.05,25.11,74.71,76.28,Kharif,106.0,67.0,62.0
Wheat,loamy,5.23,23.53,62.12,180.42,Kharif,117.0,59.0,35.0
Potato,sandy,7.21,26.39,73.46,196.64,Rabi,175.0,102.0,157.0
Sugarcane,sandy,7.2,18.54,61.68,170.27,Rabi,323.0,113.0,137.0
Tomato,sandy_loam,5.81,16.87,61.32,89.41,Rabi,206.0,106.0,100.0
Cotton,loamy,5.05,18.03,44.6,90.35,Rabi,131.0,65.0,64.0
Rice,clay,6.35,16.69,59.97,231.13,Rabi,92.0,48.0,48.0
Cotton,sandy_loam,6.86,31.94,48.5,117.13,Kharif,118.0,57.0,63.0
Rice,sandy,5.55,20.99,55.5,123.44,Kharif,110.0,62.0,59.0
Potato,clay,5.2,30.18,70.77,190.18,Kharif,194.0,107.0,110.0
Wheat,loamy,5.9,18.77,55.19,59.53,Kharif,123.0,60.0,40.0
Tomato,loamy,5.26,31.28,82.96,64.94,Rabi,176.0,105.0,114.0
Potato,loamy,7.77,32.21,89.63,230.64,Kharif,158.0,101.0,114.0
Tomato,sandy_loam,6.11,22.94,45.55,90.33,Kharif,166.0,124.0,111.0
Rice,sandy,7.8,27.77,65.83,177.99,Kharif,124.0,54.0,60.0
Maize,clay,7.03,26.0,56.55,75.48,Rabi,123.0,70.0,59.0
Cotton,loamy,7.82,27.15,47.92,145.45,Kharif,114.0,58.0,62.0
Sugarcane,clay,5.46,31.8,43.19,100.87,Rabi,252.0,104.0,88.0
Rice,sandy_loam,5.37,29.03,45.67,249.35,Rabi,99.0,56.0,47.0
Tomato,sandy_loam,7.47,28.95,43.83,162.9,Rabi,161.0,124.0,106.0
Maize,loamy,6.32,17.47,64.32,171.3,Rabi,157.0,71.0,61.0
Wheat,sandy,5.78,22.7,87.15,168.18,Kharif,130.0,60.0,49.0
Sugarcane,sandy,6.64,24.24,85.04,230.37,Rabi,293.0,126.0,118.0
Cotton,loamy,7.66,15.98,46.82,57.3,Rabi,132.0,56.0,64.0
Potato,clay,6.91,18.26,78.33,162.23,Kharif,162.0,104.0,114.0
Sugarcane,loamy,7.53,20.21,70.82,233.88,Rabi,281.0,86.0,95.0
Rice,sandy,7.89,33.89,47.05,125.34,Kharif,134.0,47.0,57.0
Cotton,sandy,7.98,17.51,70.66,81.89,Rabi,135.0,67.0,72.0
Potato,sandy,7.65,31.96,52.58,208.54,Kharif,193.0,99.0,140.0
Tomato,sandy,5.75,21.64,88.29,90.53,Kharif,187.0,134.0,118.0
Maize,loamy,6.18,33.1,68.0,134.58,Rabi,158.0,75.0,64.0
Cotton,loamy,7.57,31.88,44.93,248.62,Kharif,109.0,61.0,67.0
Rice,clay,6.89,26.83,75.13,89.86,Kharif,80.0,46.0,49.0
Rice,sandy_loam,6.74,15.44,89.43,48.7,Rabi,103.0,53.0,47.0
Rice,sandy_loam,5.72,29.2,53.65,111.7,Kharif,98.0,50.0,46.0
Sugarcane,loamy,5.89,24.65,74.56,90.95,Rabi,240.0,93.0,86.0
Potato,loamy,6.06,28.84,56.52,180.22,Rabi,155.0,114.0,108.0
Wheat,sandy_loam,7.11,16.7,72.5,177.27,Kharif,116.0,60.0,35.0
Wheat,sandy,6.23,21.59,74.67,200.91,Kharif,118.0,67.0,53.0
Maize,clay,7.08,17.24,68.26,92.23,Kharif,133.0,73.0,57.0
Maize,sandy_loam,6.72,16.92,48.02,57.95,Kharif,162.0,77.0,55.0
Maize,clay,5.39,16.63,41.04,172.04,Rabi,144.0,69.0,54.0
Rice,sandy_loam,7.83,30.32,40.27,40.28,Rabi,93.0,54.0,46.0
Tomato,sandy_loam,5.08,28.11,70.14,45.76,Rabi,166.0,114.0,106.0
Potato,sandy_loam,5.18,29.12,59.16,107.26,Rabi,193.0,91.0,111.0
Tomato,loamy,7.05,19.23,41.99,70.91,Rabi,185.0,133.0,96.0
Sugarcane,sandy,5.38,33.14,69.53,195.03,Kharif,294.0,104.0,134.0
Rice,sandy,5.42,31.7,89.22,150.39,Kharif,127.0,58.0,71.0
Sugarcane,clay,7.28,22.73,77.66,240.9,Rabi,195.0,113.0,80.0
Maize,loamy,7.63,33.56,66.44,198.3,Kharif,133.0,80.0,58.0
Cotton,sandy,5.71,23.44,86.02,224.63,Kharif,116.0,63.0,68.0
Maize,clay,5.92,33.51,58.79,199.15,Kharif,126.0,76.0,50.0
Rice,sandy,7.67,26.87,73.96,205.73,Kharif,119.0,56.0,70.0
Sugarcane,loamy,6.2,27.5,79.89,113.46,Kharif,271.0,111.0,106.0
Rice,loamy,5.17,16.49,82.62,247.93,Kharif,114.0,54.0,44.0
Maize,sandy_loam,7.37,26.83,51.49,140.52,Kharif,144.0,67.0,57.0
Maize,clay,6.31,29.81,62.32,54.39,Rabi,129.0,72.0,48.0
Sugarcane,sandy_loam,6.32,24.36,62.73,228.99,Rabi,248.0,109.0,104.0
Cotton,clay,5.67,27.1,44.84,137.93,Kharif,106.0,52.0,55.0
Tomato,sandy,7.0,34.33,59.51,182.78,Rabi,212.0,149.0,108.0
Sugarcane,sandy,7.17,21.64,73.46,94.32,Kharif,291.0,125.0,111.0
Rice,sandy,6.07,34.73,70.29,89.82,Rabi,110.0,53.0,65.0
Sugarcane,loamy,5.25,19.06,47.16,109.17,Kharif,276.0,114.0,106.0
Wheat,clay,7.92,19.43,80.28,52.24,Kharif,119.0,61.0,41.0
Cotton,sandy_loam,6.75,26.91,78.86,146.24,Rabi,122.0,61.0,62.0
Cotton,clay,7.12,20.82,42.89,49.39,Rabi,120.0,68.0,52.0
Potato,clay,5.12,27.99,63.87,72.41,Rabi,161.0,104.0,112.0
Potato,clay,7.02,22.57,50.0,223.1,Kharif,149.0,102.0,117.0
Wheat,sandy_loam,6.47,34.51,56.66,164.96,Kharif,136.0,65.0,46.0
Maize,clay,7.32,21.75,71.66,50.54,Rabi,135.0,63.0,59.0
Rice,clay,6.47,33.54,45.27,200.53,Rabi,77.0,49.0,51.0
Maize,loamy,7.7,34.53,85.09,66.75,Rabi,136.0,67.0,67.0
Tomato,clay,6.89,24.5,57.35,171.78,Kharif,166.0,106.0,87.0
Cotton,sandy,5.82,16.62,72.84,177.3,Rabi,137.0,58.0,65.0
Potato,sandy,7.72,34.27,79.76,125.64,Rabi,174.0,115.0,149.0
Wheat,loamy,7.97,24.31,42.91,95.08,Rabi,106.0,64.0,39.0
Potato,sandy_loam,6.48,33.55,43.93,214.41,Rabi,175.0,87.0,124.0
Tomato,sandy_loam,5.39,19.96,68.89,232.93,Kharif,156.0,124.0,109.0
Cotton,sandy_loam,5.66,15.03,86.69,104.26,Kharif,138.0,51.0,55.0
Sugarcane,sandy_loam,7.28,21.74,71.89,213.91,Rabi,236.0,89.0,92.0
Wheat,sandy,6.53,23.91,88.35,159.95,Rabi,138.0,67.0,44.0
Potato,clay,6.13,31.25,64.69,220.12,Rabi,173.0,89.0,125.0
Tomato,loamy,6.35,20.24,41.38,105.73,Rabi,204.0,137.0,113.0
Wheat,loamy,7.37,19.02,80.26,218.53,Kharif,136.0,54.0,41.0
Rice,sandy,5.33,23.79,50.09,228.11,Kharif,113.0,55.0,73.0
Rice,sandy_loam,7.71,22.49,67.49,50.62,Rabi,97.0,45.0,46.0
Rice,sandy,5.83,33.21,42.26,62.99,Kharif,126.0,50.0,74.0
Maize,loamy,6.26,15.34,58.25,97.48,Kharif,149.0,66.0,56.0
Sugarcane,sandy_loam,6.11,23.15,61.66,233.69,Rabi,245.0,90.0,87.0
Rice,sandy_loam,7.11,26.13,57.93,231.38,Rabi,107.0,56.0,57.0
Potato,sandy,5.23,30.63,86.25,158.19,Rabi,176.0,93.0,163.0
Potato,sandy,7.78,28.87,73.58,138.13,Rabi,185.0,103.0,144.0
Rice,sandy_loam,6.24,18.92,65.66,67.41,Kharif,89.0,46.0,49.0
Rice,loamy,7.55,26.22,66.17,64.1,Rabi,97.0,51.0,54.0
Wheat,clay,7.95,20.96,69.99,203.06,Kharif,129.0,67.0,38.0
Maize,clay,6.77,20.51,48.76,202.69,Rabi,116.0,74.0,59.0
Wheat,clay,5.58,31.8,76.25,227.9,Rabi,127.0,66.0,37.0
Maize,sandy_loam,7.24,21.51,73.41,190.55,Kharif,139.0,74.0,54.0
Rice,sandy_loam,5.8,22.22,60.42,182.74,Kharif,110.0,51.0,48.0
Potato,sandy,5.7,31.29,51.08,236.27,Rabi,207.0,106.0,137.0
Rice,loamy,5.81,30.95,55.52,135.6,Rabi,99.0,53.0,48.0
Cotton,loamy,7.51,28.56,74.23,85.6,Rabi,118.0,56.0,69.0
Maize,clay,6.26,30.3,87.72,218.39,Kharif,130.0,65.0,61.0
Rice,sandy_loam,7.98,16.85,79.02,181.48,Kharif,94.0,49.0,52.0
Sugarcane,sandy_loam,6.53,20.96,47.96,214.33,Kharif,257.0,106.0,87.0
Cotton,clay,5.49,21.92,81.0,120.65,Kharif,98.0,65.0,50.0
Wheat,sandy,5.42,27.24,55.32,108.48,Kharif,150.0,63.0,50.0
Sugarcane,clay,5.24,31.5,67.37,180.53,Kharif,232.0,104.0,91.0
Cotton,clay,6.64,22.64,80.49,162.74,Rabi,98.0,54.0,58.0
Wheat,sandy_loam,5.95,20.64,66.54,50.85,Kharif,138.0,66.0,38.0
Cotton,clay,5.0,30.26,77.34,147.04,Rabi,102.0,64.0,64.0
Tomato,loamy,7.15,16.01,64.02,71.13,Kharif,204.0,123.0,109.0
Sugarcane,clay,7.77,28.49,49.78,71.98,Kharif,201.0,110.0,94.0
Rice,clay,7.93,30.15,48.08,140.15,Rabi,85.0,46.0,44.0
Maize,clay,6.87,16.45,81.84,76.65,Rabi,128.0,74.0,57.0
Sugarcane,clay,6.57,25.18,55.81,214.34,Rabi,212.0,107.0,96.0
Cotton,loamy,6.3,24.15,67.55,62.17,Rabi,123.0,58.0,60.0
Wheat,clay,5.03,29.02,45.66,202.3,Rabi,115.0,67.0,37.0
Sugarcane,sandy,7.07,26.36,61.48,211.8,Kharif,289.0,115.0,114.0
Maize,sandy_loam,7.61,15.12,59.4,98.3,Rabi,160.0,62.0,56.0
Sugarcane,sandy_loam,7.4,19.67,63.42,232.35,Rabi,266.0,99.0,98.0
Tomato,loamy,7.76,29.14,46.07,161.63,Kharif,166.0,103.0,105.0
Wheat,clay,5.85,15.76,89.73,141.22,Rabi,120.0,53.0,36.0
Sugarcane,loamy,6.35,33.43,68.0,49.47,Kharif,234.0,111.0,90.0
Wheat,sandy,7.69,31.92,49.14,240.82,Kharif,113.0,65.0,54.0
Wheat,sandy,5.94,23.21,50.48,245.08,Kharif,116.0,58.0,46.0
Maize,clay,7.55,33.13,65.32,164.76,Rabi,128.0,69.0,48.0
Wheat,clay,5.5,31.67,49.76,227.45,Rabi,106.0,62.0,42.0
Potato,sandy,5.08,22.72,65.48,238.65,Rabi,178.0,94.0,123.0
Potato,sandy_loam,7.48,31.15,79.25,67.26,Kharif,194.0,94.0,106.0
Maize,sandy_loam,7.63,30.63,40.77,211.54,Rabi,153.0,67.0,53.0
Wheat,clay,5.79,15.11,73.43,244.25,Rabi,119.0,59.0,43.0
Rice,clay,5.69,34.13,47.41,182.71,Kharif,102.0,51.0,44.0
Cotton,clay,5.04,21.64,43.11,149.59,Rabi,111.0,53.0,62.0
Tomato,sandy,6.46,27.79,40.15,93.18,Rabi,197.0,136.0,106.0
Tomato,sandy_loam,6.23,33.64,85.15,83.71,Kharif,180.0,105.0,104.0
Cotton,clay,5.75,21.33,88.15,210.13,Kharif,105.0,58.0,57.0
Maize,sandy_loam,6.55,32.18,72.59,79.64,Kharif,167.0,71.0,56.0
Tomato,sandy_loam,6.26,33.19,51.71,60.48,Rabi,194.0,105.0,110.0
Potato,sandy_loam,7.5,25.06,89.25,242.13,Kharif,161.0,99.0,111.0
Tomato,clay,5.75,15.03,51.18,46.52,Rabi,193.0,108.0,103.0
Potato,sandy_loam,7.69,18.55,66.75,189.84,Kharif,177.0,108.0,120.0
Sugarcane,sandy,7.96,16.14,75.89,162.01,Kharif,276.0,109.0,109.0
Potato,clay,6.12,33.15,41.74,48.21,Kharif,170.0,109.0,119.0
Wheat,sandy_loam,6.35,25.74,50.18,72.71,Kharif,119.0,69.0,34.0
Sugarcane,loamy,6.21,34.94,48.67,70.55,Rabi,216.0,96.0,91.0
Potato,sandy,5.59,28.36,82.99,149.46,Rabi,210.0,97.0,124.0
Tomato,loamy,6.51,26.65,82.09,239.72,Rabi,155.0,107.0,91.0
Potato,clay,7.73,21.05,77.7,139.54,Kharif,160.0,102.0,124.0
Potato,sandy_loam,6.42,23.96,49.21,168.11,Kharif,176.0,103.0,136.0
Sugarcane,clay,6.21,19.61,51.63,179.09,Rabi,192.0,101.0,81.0
Cotton,clay,5.54,23.65,57.13,240.15,Rabi,128.0,53.0,63.0
Cotton,sandy_loam,6.05,21.86,56.33,91.01,Rabi,105.0,53.0,65.0
Potato,sandy,6.36,29.93,47.3,227.94,Kharif,172.0,85.0,158.0
Rice,clay,6.85,29.86,76.9,149.5,Kharif,97.0,49.0,41.0
Wheat,clay,7.75,24.3,43.16,165.62,Rabi,103.0,56.0,41.0
Tomato,sandy_loam,7.03,27.53,80.07,193.61,Rabi,174.0,125.0,113.0
Tomato,sandy_loam,6.46,16.65,76.52,123.34,Rabi,170.0,106.0,98.0
Tomato,sandy_loam,6.89,19.88,42.41,163.0,Rabi,175.0,114.0,87.0
Sugarcane,sandy,6.66,19.76,77.28,133.73,Rabi,285.0,117.0,104.0
Maize,loamy,7.15,26.9,56.24,45.33,Kharif,146.0,62.0,68.0
Maize,loamy,7.32,18.37,78.37,197.38,Rabi,157.0,76.0,69.0
Maize,loamy,6.56,18.44,55.27,107.51,Kharif,171.0,75.0,63.0
Maize,sandy_loam,5.86,26.85,54.89,51.65,Kharif,172.0,63.0,69.0
Maize,sandy_loam,5.59,30.29,41.18,118.85,Kharif,132.0,79.0,52.0
Wheat,loamy,6.08,27.62,75.74,130.27,Kharif,108.0,63.0,37.0
